,nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,UMAP Component 1,UMAP Component 2
0,nm11667011,Nick Oldfield,\N,\N,,tt22750894,-1.5991982,9.449779
1,nm8973987,Khaled Mohasseb,\N,\N,sound_department,tt6839768,3.4603052,3.9263449
2,nm4774165,Damian Hattori,\N,\N,"art_department,costume_department,production_designer","tt3565412,tt1378167,tt3138104,tt1276104",2.5909793,8.353722
3,nm10633006,Rajnald Köröshegyi,\N,\N,,tt10212576,4.438363,3.3973405
4,nm3607436,Boris Izyumsky,\N,\N,writer,"tt1508236,tt0313885",2.3399098,5.1536846
5,nm0700538,Joan Puma,\N,\N,"script_department,make_up_department,costume_department","tt0077713,tt0330793,tt0356618,tt0378109",5.953575,7.263113
6,nm4211443,Razvan Dumitru,\N,\N,"writer,visual_effects,art_department","tt12004038,tt9110902,tt1787832",3.7655025,4.624506
7,nm2500840,Maya Murillo,\N,\N,"actress,director,editor","tt18967746,tt7448634,tt25393118,tt7725422",5.884858,7.699106
8,nm5652576,Erik Thein,\N,\N,"camera_department,director,writer","tt3111306,tt2963406,tt22005970,tt2881714",1.0397563,8.325859
9,nm4924493,Gil Asakawa,\N,\N,,\N,6.467856,4.578017
10,nm5772714,Thomas Winsor,\N,\N,,\N,1.0996585,9.99717
11,nm12951995,Mark Barrett,\N,\N,sound_department,tt15458404,0.32496116,7.6915026
12,nm9272670,Craig Grogan,\N,\N,,\N,-1.0935861,9.1086235
13,nm3891264,Kenneth Møller Pedersen,\N,\N,art_department,tt1535505,2.403455,6.374125
14,nm7227333,Trish Young,\N,\N,"camera_department,cinematographer,director","tt7683118,tt9511354,tt1091909,tt6534536",6.9279995,8.470905
15,nm4991042,Erica Benson,\N,\N,art_department,"tt2255452,tt2829500,tt2227980,tt0221381",7.687657,8.537312
16,nm9957859,Samantha Mcgarry,\N,\N,miscellaneous,tt8670856,7.6940594,9.474142
17,nm12496305,Gregoire Delesalle,\N,\N,"director,writer,editorial_department","tt27159520,tt14471640",2.8294575,7.3608723
18,nm9550765,Doguie Brown,\N,\N,"composer,sound_department","tt8081882,tt7830476",-1.3344846,9.337539
19,nm14050026,John Lopez,\N,\N,miscellaneous,tt17525252,4.0690885,9.19546
20,nm11364747,Fanny Malmberg,\N,\N,casting_department,tt11554416,7.8352585,7.621244
21,nm11558425,Maksim Makarov,\N,\N,actor,tt12273632,2.6248326,4.9831095
22,nm6020627,Nicole Umali,\N,\N,actress,"tt12164342,tt3265668",6.9009447,8.357049
23,nm13262491,Bill Black,\N,\N,actor,tt0940900,1.620342,10.058344
24,nm9898558,Lee Yost,\N,\N,,tt1821512,-0.18688895,10.586019
25,nm8730877,Victor Sadrasangra,\N,\N,production_manager,tt6384918,2.4927294,8.125157
26,nm8842966,Eric Eide,\N,\N,,\N,-0.93194455,8.448981
27,nm6177684,Piero Liberati,\N,\N,,tt3302498,3.4380562,8.077267
28,nm5946613,Ng Xi Jie,\N,\N,casting_director,tt3186122,7.382331,2.656167
29,nm4400255,Dustin Evans,\N,\N,actor,tt0098844,-0.5015653,9.950308
30,nm14176750,Elliot Wilson,\N,\N,,tt15241824,-0.5063493,9.458092
31,nm5120750,Blaze Linn,\N,\N,"make_up_department,actor","tt2208772,tt2410144,tt4432804,tt4139336",1.0764523,8.8725605
32,nm6264078,Antonio Bustamante,\N,\N,,tt0486531,3.1295123,9.367156
33,nm12242197,Diana Akmakjian,\N,\N,,\N,6.3088946,7.531217
34,nm7413626,Grace Lin,\N,\N,,\N,8.04087,8.870019
35,nm10681171,Lucy Ayoub,1992,\N,actress,"tt0891398,tt28231892,tt4565380,tt23059694",7.8900805,7.8823457
36,nm7743589,Dante de Noia,\N,\N,"writer,producer",tt5216188,3.1040454,8.717273
37,nm7009438,Mark Chester,\N,\N,composer,tt4291580,0.47138187,7.89623
38,nm14597239,Rohit Patil,\N,\N,cinematographer,"tt26898728,tt28089900",4.2840705,3.1167502
39,nm13068771,Anthony LaTorella,\N,\N,,\N,3.093442,8.298224
40,nm0324445,Karl-Heinz Goertz,\N,\N,actor,tt0116485,2.1174238,5.9907117
41,nm5350751,Jill Wang,\N,\N,visual_effects,"tt4242158,tt6138688,tt6908536,tt7638330",7.407997,8.563859
42,nm4260045,Artem Avakian,\N,\N,"cinematographer,camera_department,editor","tt5243186,tt1972580,tt1814876",2.4705303,5.102444
43,nm0995244,Louise Osbourne,\N,\N,"actress,visual_effects,miscellaneous","tt0131369,tt0240462,tt0265029,tt14182840",8.052522,7.9024844
44,nm12230197,Jim Polito,\N,\N,,tt4048626,-1.3112488,9.858602
45,nm3946447,Péter Balázs Kiss,1989,\N,"actor,assistant_director","tt4338336,tt13430832,tt9055242,tt0446224",0.79673034,6.2394757
46,nm7196480,Javier Tisera,\N,\N,"actor,writer","tt15435890,tt15436242,tt4530150",3.3708138,9.474309
47,nm0500926,Birgit Lelek,\N,\N,"production_manager,miscellaneous","tt0104809,tt0114267,tt0089329,tt0078472",3.4385054,5.584341
48,nm5567365,Pedro Rengifo,\N,\N,cinematographer,tt2767822,3.1840043,9.597818
49,nm11376945,Karen Dunwell,\N,\N,,tt2076566,8.445321,7.255504
50,nm0792879,Tatyana Shestakova,1948,\N,"actress,writer","tt0070713,tt0091251,tt0091773,tt0176601",6.0699935,6.663065
51,nm5791596,Antonio Turok,\N,\N,camera_department,"tt1127883,tt14176542",2.798105,8.277331
52,nm8369518,Robert Ahdoot,\N,\N,producer,tt5974292,0.8571007,7.609483
53,nm7219303,Roslyn Park,\N,\N,"miscellaneous,producer,location_management","tt7756150,tt4882708,tt5966138,tt5902614",4.780705,7.8526683
54,nm12342301,Ariana Romo,\N,\N,"director,writer",tt14103084,5.9972954,8.888082
55,nm9284178,Al Turner II,\N,\N,actor,tt7391626,0.3582112,8.333351
56,nm10298157,Isil Akkoyunlu,\N,\N,actress,"tt0845088,tt13920198,tt14071428",4.1909895,4.5902843
57,nm1044781,Tor Baxter,\N,\N,art_department,"tt1496025,tt0343818,tt5651844,tt0290334",0.40797442,9.442046
58,nm6678341,Christian Minerly,\N,\N,actor,tt4442132,1.8887755,7.8014555
59,nm4238446,Beth Bailey,\N,\N,"editor,producer",tt1790788,7.8886967,8.912132
60,nm8093755,Sean Jones,\N,\N,,\N,-0.42173237,9.377028
61,nm6313608,Emma Whittard,\N,\N,,\N,7.8234606,6.9530487
62,nm9609962,George Gaylor,\N,\N,camera_department,tt7966698,1.3904809,7.6350217
63,nm8768563,Roman Garcia,\N,\N,actor,tt6515214,4.062019,9.929086
64,nm6682684,Jill Niedoba,\N,\N,actress,"tt5919756,tt11978072,tt1043813,tt2983222",7.146459,8.465881
65,nm11134066,Jade Gunner,\N,\N,sound_department,tt5691474,6.222639,9.022979
