,nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,UMAP Component 1,UMAP Component 2
66,nm0438985,Sergei Karasyov,\N,\N,transportation_department,"tt0113633,tt0113634",2.3283908,5.075767
67,nm2617304,Sebastian De Grandis,\N,\N,actor,tt0235393,3.4057593,8.945671
68,nm9035482,Alekh Kumar,\N,\N,visual_effects,tt6224502,4.281849,3.1906688
69,nm5630355,Bruno Carranco García,\N,\N,"actor,stunts","tt2844434,tt14765736,tt3188682",3.8125412,9.707302
70,nm0379629,Letty Hernandez,\N,\N,"editor,miscellaneous,casting_department","tt0280672,tt1938990,tt1938991,tt0452618",5.4792767,8.535727
71,nm4305368,Kenny Cowburn,\N,\N,"camera_department,cinematographer,art_department","tt8896862,tt7205046,tt1833780,tt8897032",-1.0813141,8.5057335
72,nm4596178,Kit & the Widow,\N,\N,,"tt21031380,tt0165011,tt0273383,tt0083504",7.5454955,7.7420096
73,nm7609667,Justice Strong,\N,\N,actor,"tt5057916,tt9788898,tt5057888,tt7472964",0.18917665,8.967069
74,nm3806361,Taylor Harrington,1983,\N,"producer,editor,visual_effects","tt11649646,tt3742366,tt12819466,tt3237744",0.14366071,9.928816
75,nm9960452,Gerald Clark,\N,\N,music_department,tt5847222,-0.7267153,8.928084
76,nm2199112,John Pappadakis,\N,\N,"writer,producer","tt20782514,tt0066007",1.184138,7.6511145
77,nm4385749,Bobby Tsukamoto,\N,\N,music_department,tt0486531,6.4182177,4.6269774
78,nm13065346,Hiroaki Watanabe,\N,\N,,tt15769050,6.382636,4.5823493
79,nm14098772,Rebecca Meyer,\N,\N,art_department,tt0285335,8.355418,8.610355
80,nm3849218,Jean-Baptiste Saurel,\N,\N,"director,writer,cinematographer","tt27788030,tt2727100,tt10885700,tt2235766",2.824686,7.2935777
81,nm4515336,Markus Kublin,\N,\N,"actor,director,writer","tt3231706,tt1970044",1.9088047,6.3716745
82,nm1037894,Gunther Hermann,\N,\N,camera_department,tt0806901,1.4289045,6.602197
83,nm13516038,Heidi Bartholomew,\N,\N,art_department,tt13016388,7.1977606,8.229751
84,nm11649925,Ralf Wrobel,\N,\N,assistant_director,tt2665816,1.5102606,7.1028447
85,nm11774273,Mahmoud Guendouz,\N,\N,,tt0397220,3.246657,4.129365
86,nm13164540,Martin Glac,\N,\N,actor,tt16261132,1.8670305,8.509125
87,nm2172136,Sergey Agin,\N,\N,"production_designer,art_department","tt5157456,tt1023123,tt12200256,tt8769146",2.3007874,5.0674753
88,nm10582862,Sukhjinder Singh Babbal,\N,\N,writer,"tt6673682,tt10102192,tt12055210",4.072424,3.2827046
89,nm13052964,Jeannie Wilson,\N,\N,,tt13951868,8.494622,8.248681
90,nm13603923,Jyoti Kanwar,\N,\N,,\N,4.630507,4.0044465
91,nm10696192,Katia Mefino,\N,\N,actress,tt10333920,6.4814973,8.147276
92,nm0714975,Richard Redlin,\N,\N,camera_department,"tt0094894,tt0218967,tt0300556,tt0289765",0.14598283,7.113665
93,nm4814288,Cyril Bordat,\N,\N,miscellaneous,tt2128691,2.261446,7.3935833
94,nm13240604,Steve Mercier,\N,\N,,tt13555630,-0.85316265,7.4901953
95,nm0868625,Enoch Torres,\N,\N,actor,tt0056322,3.3130443,10.070924
96,nm13382042,Marcelo Ignacio Bernardini,\N,\N,producer,tt16155872,3.7998366,9.288283
97,nm14495123,Egle Dominiene,\N,\N,script_department,tt26443589,3.6217523,6.023328
98,nm7350086,Hsiao-Ching Chou,\N,\N,,\N,7.089983,2.9861484
99,nm0325628,Marvin Goldhar,1934,2002,actor,"tt0082244,tt0176382,tt0131183,tt0253375",0.086602524,8.542092
100,nm13167770,Dave Nair,\N,\N,actor,tt16271772,0.0029657152,7.502515
101,nm4195700,John Chrobak,\N,\N,actor,tt1619647,0.19900751,8.3913355
102,nm0236226,Michael Dowse,1973,\N,"director,writer,producer","tt1456635,tt0388139,tt7734218,tt1486834",0.76894623,7.84108
103,nm12883258,Manjith Singh Rajput,\N,\N,,\N,4.274395,3.0394197
104,nm9544601,Katherine Taylor,\N,\N,,tt3644198,6.703723,9.551722
105,nm0598531,Mark Monroe,\N,\N,"producer,writer,director","tt11382384,tt8394980,tt6333060,tt12971802",0.5461713,9.285827
106,nm13874474,Iman Ben Fallah,\N,\N,make_up_department,tt21331056,3.8667543,4.5418143
107,nm5883130,Devin Moore,\N,\N,art_department,tt3117926,-0.37239552,8.929924
108,nm14252678,Matthew Tyrie,\N,\N,actor,tt1686677,-1.4022306,8.625201
109,nm11223413,Maria Toporowicz,\N,\N,actress,tt9494016,6.250748,6.872484
110,nm13004045,Mukesh,2000,\N,actor,"tt7529298,tt10598156,tt11460992,tt11873440",3.768972,4.201082
111,nm7960607,Liu Xianying,1977,\N,,"tt0471985,tt0397208,tt0347692,tt1517514",7.499166,2.7818258
112,nm11922524,Ramchandra Gopalrao Nimkar,\N,\N,composer,tt13149238,4.3487563,2.9940944
113,nm6072141,Naomi Blas Soriano,\N,\N,actor,tt3319062,5.9486933,8.279152
114,nm14616298,Madhvi,\N,\N,actress,tt15752618,4.073685,3.7442718
115,nm14328994,Paul Hart,\N,\N,"art_department,camera_department",tt6263066,0.1390327,6.7663655
116,nm9045435,Veronika Wagner,\N,\N,director,tt6979690,6.502106,7.3904243
117,nm3200798,Lutz Braune,\N,\N,director,"tt7304284,tt2825492,tt1325222,tt14182566",1.0925907,6.7279696
118,nm1365598,Peter Koning,\N,\N,camera_department,"tt1584736,tt1388820,tt0252629,tt0160216",0.79276305,6.307243
119,nm4743137,Gary Sissel,\N,\N,actor,tt2082335,-0.8598399,8.216869
120,nm8447038,Carlos Huanes,\N,\N,assistant_director,tt5523020,3.3254642,9.626705
121,nm7817387,Doobie Siu,\N,\N,miscellaneous,tt5301422,6.272469,3.4184182
122,nm3292644,Filio Tsaliki,\N,\N,actress,tt0366721,3.1054776,5.706169
123,nm8688010,Ulrich L.,\N,\N,,tt6393162,1.3310525,6.648673
124,nm9076485,Sebastian Knutsson,\N,\N,producer,"tt7036530,tt15290612",2.3335881,6.6382113
125,nm0577460,W.R. Melchers,\N,\N,actor,tt0144620,0.7749857,7.9170246
126,nm11539106,Chase,\N,\N,,tt11007040,-0.2521305,8.54334
127,nm11321408,Aleksandra Olsen,\N,\N,costume_designer,tt11554876,7.023498,7.190616
128,nm13738770,Warren Davis,\N,\N,actor,tt20880094,-0.34484673,8.640833
129,nm0003803,Donald Irvine,\N,\N,camera_department,"tt0120903,tt0217823",0.61155623,8.936573
130,nm4210839,Sven R. Ohlson,\N,\N,art_department,tt1568346,2.0310562,6.6362357
131,nm3626277,Daniel Everson,\N,\N,producer,"tt1513866,tt5763654",1.7509192,8.025542
132,nm8933119,Ulises Sánchez-Flor,\N,\N,director,tt6797784,3.7104263,9.301663
133,nm12312664,Bhumet Srichiraphath,\N,\N,actor,tt14036600,4.7083683,3.7675889
134,nm7222888,Dalilah R. Nunez,\N,\N,,\N,4.2939487,9.4787245
135,nm3461651,Elise Wilson,\N,\N,"director,producer",tt0891100,7.764345,8.460008
136,nm10540127,Dan Paul Roberts,\N,\N,"producer,writer,composer","tt14662858,tt10073532,tt14663002,tt16273888",0.06446933,6.414549
137,nm6824757,Mattias Bjarnemalm,\N,\N,,tt12946298,3.5334327,6.3035913
138,nm7591110,Jalah Hutchins,\N,\N,actress,"tt10327138,tt5033124",2.5902205,5.5746636
139,nm8222111,Julian Sarica Polo,\N,\N,"assistant_director,director,writer","tt5813698,tt8749066,tt27833131,tt8746986",3.2871103,8.091516
140,nm10097792,Süfyan Elmoumi,\N,\N,actor,"tt13207736,tt8948036",3.4516613,3.9604077
141,nm14009073,Thalea Van de Walle,\N,\N,actress,\N,1.6835068,5.8342433
142,nm1325349,Tania Oggero,\N,\N,actress,tt0216368,5.317445,6.649048
143,nm4313748,Greg Mulroy,\N,\N,miscellaneous,tt1839514,1.0527918,8.872885
144,nm10099217,Hengyu Ni,\N,\N,assistant_director,tt8493962,5.9113464,4.6642694
145,nm5897007,Daniel Caruso,\N,\N,camera_department,tt2546024,1.9932564,8.030876
146,nm10444162,Boris Roux,\N,\N,actor,tt9700306,2.3166625,5.11371
147,nm12733109,Maria Blagoveshchensky,\N,\N,writer,tt14989608,6.2217975,6.704819
148,nm10004749,Jo Donato,\N,\N,location_management,tt8743172,5.5129952,7.5023828
149,nm11244891,Claes Arvidsson,\N,\N,actor,tt11542758,2.182299,6.416959
150,nm1376902,Michel d'Hoop,\N,\N,"director,writer,cinematographer","tt0826047,tt0257805",2.5367763,7.8026505
151,nm12827460,Jed Kingi,\N,\N,sound_department,tt14894996,0.73933816,8.579482
152,nm12208235,Shawn Hazen,\N,\N,,\N,0.19843915,9.660484
153,nm14601679,Ross Escobar Madrid,\N,\N,"director,writer",tt26910104,3.4885228,9.330443
154,nm1366992,Massimo Giovannini,\N,\N,"actor,stunts","tt0318003,tt0123539",3.3519871,8.134429
155,nm11672739,Samuel Burnard,\N,\N,,\N,-0.16527438,8.454664
156,nm3873831,Pierre van der Pol,\N,\N,,tt0945531,1.5378165,5.7718544
157,nm1057830,Sunny Antrim,\N,\N,"producer,miscellaneous,art_department","tt0300051,tt0371257,tt0333766,tt0387514",-0.80021626,9.642906
158,nm2241651,Jason Jump,\N,\N,"actor,music_department","tt0795422,tt13428874",0.79577523,9.310967
159,nm3462292,Charle Acierto,\N,\N,"editorial_department,editor,camera_department","tt8774876,tt5696762,tt1453428,tt1285219",3.550712,6.986648
160,nm12677802,Maximillian Jerde,\N,\N,,tt2009536,3.0528307,6.3283167
161,nm1877618,Yoko Kambai,1981,\N,camera_department,"tt5669390,tt0431641,tt0484281,tt0408470",6.166835,4.8998804
162,nm9927380,Anki Nurminen,\N,\N,actress,tt8599474,5.0531917,5.4913597
163,nm6810281,Jeffrey Bazan,\N,\N,"director,writer",tt4078146,0.3223875,7.1842394
164,nm1848419,Elisabeth Oefner,\N,\N,cinematographer,tt0451120,7.9476395,8.1615305
165,nm0642477,Patty O'Reilly,\N,\N,"editor,editorial_department","tt0160264,tt0181508,tt0192800,tt0141355",7.6495466,8.657164
166,nm0051252,Ursula Baltschum,\N,\N,costume_designer,tt0155650,7.406004,7.2230773
167,nm2190324,Meike Sudholz,\N,\N,"art_department,art_director,costume_designer","tt5125616,tt5133288,tt0806910,tt4214012",6.4330416,6.5508657
168,nm1420040,Soozie Eastman,\N,\N,"producer,director,miscellaneous","tt0375962,tt0878108,tt6101430,tt1857906",7.998327,8.614516
169,nm9378247,Rose Schonblum,\N,\N,producer,tt7566656,7.475616,8.1092825
170,nm6717528,Jarrett Silberman,\N,\N,camera_department,tt3118296,-0.025283929,9.804514
171,nm14953230,Hend Elbalouty,\N,\N,art_director,tt28091163,2.936384,5.3622293
172,nm12800874,S.K. Veeragavan,\N,\N,actor,tt0105162,4.441778,3.2230766
173,nm11133904,Emma Nagy,\N,\N,actress,\N,7.867106,6.880697
174,nm13319164,Ebba Hosche,\N,\N,,tt0883777,3.7081323,5.8517575
175,nm3554441,Jesse Chapman,\N,\N,"music_department,miscellaneous","tt1483402,tt0284519",-0.5494627,9.77445
176,nm9250831,Chloe London,\N,\N,actress,tt4526136,8.021242,9.401582
177,nm9611500,Natalie Karhapoltseva,\N,\N,"visual_effects,animation_department","tt5378092,tt4123432,tt4574334",6.4566693,7.104377
178,nm9055873,Timur Rella,\N,\N,,tt6687458,4.1812863,5.9407353
179,nm12580737,Alihan Pehlivan,\N,\N,actor,"tt14666956,tt15462948",3.8063846,3.9130738
180,nm6575867,Elodie du Detroit,\N,\N,composer,"tt3810482,tt8804304",3.9582798,6.5875473
181,nm6863000,Aris Papadopoulos,\N,\N,miscellaneous,tt4142262,3.280093,6.2164574
182,nm11113334,Grzegorz Grochowski,\N,\N,actor,"tt0388626,tt1094354,tt14315566,tt0386946",2.5353014,5.641205
183,nm0109117,Jonathan 'JB' Brighman,1967,\N,"soundtrack,actor","tt0415306,tt0489049,tt0251075,tt0840361",3.930651,3.449183
184,nm2624769,Troy Aldrich,\N,\N,miscellaneous,tt0119734,0.37823448,9.219021
185,nm7264364,Sharon Hsu,1981,\N,actress,"tt3769148,tt7769340,tt4539742,tt3560742",7.882614,8.536222
186,nm6223114,Alan Keogh,\N,\N,"sound_department,composer,miscellaneous","tt11324008,tt3180428,tt12546328,tt7936324",-0.18906529,7.6427245
187,nm13172609,Namio Iwase,\N,\N,actress,tt0427854,5.244311,4.9883385
188,nm1325634,Tim MacDowell,\N,\N,casting_department,tt0106934,-0.4200534,10.4993515
189,nm11455403,Amin Saidul,\N,\N,,tt3808322,3.4920387,4.0584655
190,nm6360933,Marcos LaMotta,\N,\N,"producer,director,executive","tt6076104,tt4409394,tt10401466,tt4664688",3.589573,9.496477
191,nm2242973,Malika Benjelloun,\N,\N,actress,"tt0781429,tt10300722",6.188437,7.622295
192,nm1895777,Yoshiyuki Koido,\N,\N,"animation_department,visual_effects,art_department","tt0365498,tt0462422,tt0264208,tt0366186",6.4218736,4.6155734
193,nm13759512,Alexa Alice Kalyvas,\N,\N,,\N,6.3742495,7.2248454
194,nm0832138,Robin Stone,\N,\N,actress,tt0220238,5.5656834,10.245469
195,nm2691873,Hans Snow,\N,\N,camera_department,"tt0068169,tt0244005",1.7093507,6.5126176
196,nm9016340,John William Ault,1911,1990,"miscellaneous,actor","tt0076759,tt0089622",0.5924648,8.144047
197,nm3205133,Rick Reed,\N,\N,actor,tt1327603,-0.4460095,7.7514043
198,nm4696212,Scott Crouch,\N,\N,actor,tt2071564,-0.46026146,7.7060366
199,nm4787711,Lars Friedrich,\N,\N,"writer,director,producer","tt0286398,tt1039883,tt4552256,tt15536250",1.8596197,6.4965034
200,nm4572434,Tim Nowitzki,\N,\N,"cinematographer,camera_department,producer","tt2005183,tt2186426,tt5668218,tt3072110",0.5944129,9.747966
201,nm8022011,Laurent Nyssen,\N,\N,art_department,"tt2583302,tt5396952,tt7653974",2.104932,6.73672
202,nm12431433,Silvia Orth,\N,\N,miscellaneous,tt11725826,6.59381,7.7161183
203,nm10151506,Willowrine Salmon,\N,\N,,\N,8.256831,7.6224785
204,nm4479623,Yanto Triplex,\N,\N,special_effects,tt1945106,6.146096,4.546823
205,nm6113375,Patrick Russell Burton,\N,\N,"actor,cinematographer,camera_department","tt8461416,tt4718840,tt4801080,tt3359354",-0.9219183,10.37497
206,nm12825334,Matija Gracin,\N,\N,,tt15155118,5.2482743,6.3681936
207,nm10769200,Doug Farrar,\N,\N,,tt1159866,0.46701002,8.825992
208,nm2423089,Tim Pogue,\N,\N,producer,tt0829297,-0.44470274,10.487934
209,nm7061875,Zjanna Reinders,\N,\N,,\N,3.551537,5.4832897
210,nm0530759,Boussif Moulay M'Barek,\N,\N,"costume_department,miscellaneous","tt0104082,tt0098544",2.8593898,7.11943
211,nm12252008,William Humphrey,\N,\N,,tt0450207,0.040988285,8.615401
212,nm12769779,Tankrede Bulleux,\N,\N,camera_department,tt15073298,3.2135708,7.1117334
213,nm9192685,Corey Scott,\N,\N,,\N,-1.095865,7.8186164
214,nm12365455,Batman 3000,\N,\N,,tt14153254,-0.05305346,8.704048
215,nm3689480,Victor Ituarte,\N,\N,editor,tt1542445,2.6283476,8.242783
216,nm7783419,Ayesha Jordan,\N,\N,,\N,6.8467407,9.013415
217,nm1791912,Paul Phillips,\N,\N,writer,tt0118435,0.44031885,6.7041807
218,nm0719267,Édouard Renault,\N,\N,cinematographer,tt0007518,2.6851504,7.4884753
219,nm12034785,Esther Müller-Zalc,\N,\N,actor,tt13004808,7.763694,7.196368
220,nm10705891,Olivia,\N,\N,,\N,7.705948,9.205229
221,nm2270381,Katharina Henke,\N,\N,actress,tt0806042,6.9434023,8.234153
222,nm4153587,Mary Wells,\N,\N,miscellaneous,tt0281190,9.030057,8.459095
223,nm2203805,Sevgi Çelik,\N,\N,actress,"tt0781393,tt5335894",4.0044274,5.4700217
224,nm11274353,Ken Okuyama,\N,\N,producer,tt11380028,6.4362206,4.7789783
225,nm2925065,Daniel Manning,\N,\N,,\N,0.81966245,8.763657
226,nm8022249,Teresa Thomas,\N,\N,art_director,tt0116546,6.867067,8.551302
227,nm13968422,Binh Trinh,\N,\N,,"tt3868860,tt16425444",6.848138,2.8753977
228,nm8562017,Bobbie Jeane Wheeler,\N,\N,,\N,7.7398334,8.707577
229,nm10989973,Jess Gupta,\N,\N,,\N,7.788734,9.644804
230,nm8403156,Vlad Verheij,\N,\N,,\N,2.6064978,5.3470745
231,nm7927788,Giuseppe Cuozzo,\N,\N,art_department,tt5365088,3.3200173,8.123202
232,nm12967215,Charlie C. Lallerstedt,\N,\N,sound_department,tt14985136,-0.08604212,8.26827
233,nm3926384,Injoon Hwang,\N,\N,visual_effects,"tt1663662,tt9777666,tt1631867,tt1098327",6.5108495,2.7518282
234,nm4700877,Tapas Sarkar,\N,\N,actor,"tt4270840,tt6935912,tt1593742,tt1590999",4.4950547,3.155977
235,nm2682394,Scott Hartwig,\N,\N,writer,"tt0357400,tt5223058,tt5261756,tt1786420",-0.8908406,7.5388007
236,nm0104671,Heinz Theo Branding,1928,2013,"actor,miscellaneous","tt1611187,tt0211107,tt0062721,tt0383336",2.1055,6.9649296
237,nm10769078,Abdul Raman,\N,\N,actor,"tt26921003,tt1627578,tt15114416,tt15405476",3.8867867,3.5326805
238,nm12990422,Mitch Zeltzer,\N,\N,"writer,cinematographer,editor",\N,0.61779445,7.841569
239,nm1410455,Markéta Coufalová,1978,\N,actress,"tt10687052,tt0845648,tt0328778,tt0374086",4.4901323,6.8445864
240,nm12479620,Lizbeth Marchant,\N,\N,,\N,8.389476,8.318275
241,nm0122793,Matt Burns,\N,\N,"actor,stunts","tt0081233,tt0074466,tt0091964,tt0079444",-1.5414647,8.492515
242,nm7582927,Hideyuki Yanagisawa,\N,\N,"visual_effects,production_manager,miscellaneous","tt2230051,tt3794354,tt20518526,tt12412888",6.49839,4.602638
243,nm1997259,Jet Filipino,\N,\N,actor,tt0246425,4.981412,4.962097
244,nm7832041,Richard Fuksa,\N,\N,camera_department,tt3849810,0.18025477,7.0439625
245,nm14193492,P. Williamson,\N,\N,,\N,0.38280475,8.708877
246,nm9031172,Daniel Christian,\N,\N,producer,tt6955878,1.8058724,7.9715137
247,nm6971915,Ron Jackson,\N,\N,transportation_department,tt0758771,-1.2973772,8.773443
248,nm4526828,Willy Klerks,\N,\N,writer,"tt0179056,tt0112012,tt0387750",1.8270748,6.346226
249,nm9515436,Jessica Lynn Lewis,\N,\N,actor,tt8060686,7.8671336,9.518577
250,nm12640225,Dilen De Zilva,\N,\N,,"tt25435398,tt14796848",3.6569333,5.7439733
251,nm6755983,Tanja Pancic,\N,\N,"actress,writer","tt12770068,tt4022158,tt27957909",5.4821315,6.6773815
252,nm4417923,Joel Lucas,\N,\N,editor,"tt1893293,tt14449910",-1.4050401,7.4865355
253,nm10924596,Lemonheart Nakajima,\N,\N,director,"tt11429452,tt11099416,tt10831638",6.338152,4.567595
254,nm11938736,Ananya Klein,\N,\N,actor,tt13187834,5.8751817,7.190224
255,nm12052459,Rochelle Besser,\N,\N,actress,tt4024906,8.357929,8.17456
256,nm7033599,Elizabeth Gerarty,\N,\N,producer,tt4329516,8.561022,8.246915
257,nm3719551,David Dugan,\N,\N,writer,tt0071034,0.17507958,7.317656
258,nm6694080,Alfredo Dominguez,\N,\N,camera_department,"tt5608426,tt5341504,tt3910952",3.4996905,9.993663
259,nm8875991,Dwip Bhattacharya,\N,\N,actor,tt6694312,4.6137753,3.6327004
260,nm13288082,Amber Moore,\N,\N,,tt16987692,7.577401,8.424298
261,nm0877915,Tom Turner,\N,\N,actor,"tt0089319,tt0072153",0.69639,10.281776
262,nm8176852,Ambrogio Meschini,\N,\N,transportation_department,tt0113849,3.581586,7.889479
263,nm8810186,Nora El Abdouni,\N,\N,,tt5809710,6.1631913,7.1991987
264,nm14834667,Scarlet Woo,\N,\N,visual_effects,tt4489416,6.978051,8.499762
265,nm9391778,Phikria Bichinashvili,\N,\N,actress,"tt23398438,tt7582782",5.9363,6.544289
266,nm7596053,Aaron Greenberg,\N,\N,,\N,0.17895025,9.410245
267,nm8779067,V. Bezelyuk,\N,\N,costume_designer,"tt0346891,tt0169556",2.5755565,5.280116
268,nm12418748,Dima Khachaturov,\N,\N,editor,tt14280268,2.5968134,5.02283
269,nm10529360,Meiqiang Ge,\N,\N,actor,"tt0040009,tt1580409",7.4171605,2.7030334
270,nm1230911,James Bennett,\N,\N,camera_department,tt0166844,-0.9522259,8.941122
271,nm10390116,Christopher Watson,\N,\N,art_department,tt0116654,0.29705954,9.034062
272,nm10477587,Christoph L. Dorocant,\N,\N,"actor,sound_department","tt14081878,tt9774678,tt14199590",1.4186481,7.147584
273,nm12347274,Nico Hughes,\N,\N,,\N,-0.80948216,9.556171
274,nm0598179,Filipa Monjardino,\N,\N,miscellaneous,tt0107151,4.451582,8.41965
275,nm1201055,Jon Webster,\N,\N,sound_department,tt0432097,-0.22191368,8.578385
