,nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,t-SNE Component 1,t-SNE Component 2
109,nm14951600,Blaze,\N,\N,actress,tt28086782,-13.8902235,-61.97623
110,nm12368741,Tyler Burns,\N,\N,writer,tt14161820,-57.450275,-6.7738037
111,nm2440166,Wolfgang Winzberger,\N,\N,"art_department,location_management","tt0806910,tt1906426,tt0410730,tt0108829",-6.2158127,35.17725
112,nm7646133,Cinnamon Day,\N,\N,,\N,-5.041821,-40.557793
113,nm10472208,Norman Hall,\N,\N,,tt9773466,32.888073,-29.757345
114,nm2114537,Jen Luzzo,\N,\N,miscellaneous,tt0486588,-21.386974,8.131327
115,nm0461289,Rob Knokes,\N,\N,sound_department,tt0112346,-66.78644,-39.73871
116,nm0544840,Antonio Marangolo,\N,\N,"music_department,composer","tt0082000,tt0073582,tt0086023,tt1789817",-9.254419,50.00979
117,nm9265320,Munmun D. Halder,\N,\N,"make_up_department,composer,costume_designer",tt7360512,11.836595,-64.552574
118,nm3209966,Jose I. Davila,\N,\N,editorial_department,"tt0926390,tt1329135,tt0287225",-7.5551934,80.96546
119,nm9581733,Michael Bowlin,\N,\N,,tt6079562,-45.951843,7.3607707
120,nm1856354,Donogh Phillips,\N,\N,actress,tt0452810,-40.364513,-62.8251
121,nm12790659,P.S. Shankar Raj,\N,\N,visual_effects,tt8188610,61.223114,-36.478493
122,nm2149584,Kudakwashe Alubembe,\N,\N,art_department,tt0106464,44.113083,-11.938753
123,nm12140504,Seville Slater,\N,\N,actor,tt13629678,-2.0029485,-29.023642
124,nm4472362,Takayuki Okamoto,\N,\N,director,tt1942045,92.934875,-0.78156275
125,nm2617393,Jay Kuger,\N,\N,actor,tt0844968,-73.16178,-7.816332
126,nm0942587,Lauren Wright,\N,\N,"actress,miscellaneous","tt8228884,tt0117041,tt0447843,tt2845538",-21.251326,-14.532009
127,nm12477840,Dawn Corine,\N,\N,actress,tt1261418,6.404656,-28.193615
128,nm4240698,Anastasia Bodagovskaya,\N,\N,actress,tt1805407,50.040012,36.089954
129,nm5153925,Mark Lamer,\N,\N,actor,tt0782034,-42.183567,-26.609142
130,nm1220869,Koji Hama,\N,\N,writer,tt0296180,83.29854,-0.29820725
131,nm8540972,Misha Petruk,\N,\N,miscellaneous,"tt4908644,tt3797064",47.410748,30.582254
132,nm3168131,Anne-Caroline Chausson,\N,\N,actress,"tt10969150,tt0388343,tt10584884,tt1178714",-29.72334,50.80983
133,nm4007481,Jaclyn Polin,\N,\N,actress,"tt6028940,tt1699697",-21.56954,28.045023
134,nm12561234,Tonaor Thipkasorn,\N,\N,actor,tt14624678,72.28595,-9.398732
135,nm9562635,Adwait Patwardhan,\N,\N,composer,"tt7886740,tt14754590,tt9454148,tt10694112",61.519344,-32.041004
136,nm13821122,King Gulley,\N,\N,"actor,writer",\N,-23.414577,-13.301072
137,nm1385955,Chung Leung Lee,\N,\N,sound_department,tt0092264,42.730465,-57.515358
138,nm9106851,Frances Hewson,\N,\N,actress,"tt7095436,tt4370596",-21.749378,22.483278
139,nm4598823,Masako Suzuki,\N,\N,miscellaneous,tt1720905,83.108734,-2.6310802
140,nm5239868,F. Doland,\N,\N,actor,tt0021793,18.043123,-65.485115
141,nm12031864,Katalin Taleent,\N,\N,,tt13388078,10.419472,-2.0042875
142,nm14366903,Zernul Shackelford,\N,\N,camera_department,tt24774814,32.59237,58.78722
143,nm13603626,Paul Boylan,\N,\N,actor,tt19817532,-70.244255,7.029892
