,nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,UMAP Component 1,UMAP Component 2
0,nm9881797,Vera Reysag,\N,\N,actress,tt8502806,-8.44801,6.555115
1,nm0247636,Don Eastman,\N,\N,actor,"tt0098878,tt0088903",-6.225429,8.509531
2,nm9788806,Robert Jones,\N,\N,camera_department,tt6209340,-4.5147457,7.507074
3,nm0760503,Patricia Samuels,\N,\N,"actress,miscellaneous","tt0088512,tt0103381,tt0086718,tt0166458",-6.204634,5.4961367
4,nm1373202,Gia Mitchell,\N,\N,actress,tt0363579,-7.2699995,6.607009
5,nm6138507,Volkan Ozsahin,\N,\N,actor,tt3390614,-7.9472117,6.5061917
6,nm2754358,Chris Keys,\N,\N,"location_management,miscellaneous","tt1094295,tt1227787,tt1323043,tt1344337",-5.1827517,3.2255015
7,nm14012637,Shunsuke Takeuchi,\N,\N,miscellaneous,tt21941016,-5.9468126,5.6223426
8,nm5808175,Theron Parker,\N,\N,actor,tt3062390,-4.723451,7.206419
9,nm0320740,Isabelle Girardet,\N,\N,actress,"tt9065600,tt0827768,tt0259289,tt1390405",-6.2175775,5.390611
10,nm15085054,Dick Narciss,\N,\N,assistant_director,\N,-7.2498183,7.750437
11,nm5007375,Craig Schumacher,\N,\N,sound_department,tt0486531,-4.594486,8.60144
12,nm8390590,Tamás Kern,\N,\N,actor,tt6003210,-4.900972,5.691029
13,nm14692667,Kai Hsu,\N,\N,actor,"tt10850978,tt22754786,tt12768962,tt27503058",-9.3696,6.577792
14,nm13459805,Zoey Allum,\N,\N,actress,tt14452228,-5.0063534,4.9455223
15,nm6844415,Lilla Bauer,\N,\N,,\N,-4.2719316,6.6859093
16,nm8657750,Sophia Berlin,\N,\N,"assistant_director,editor,make_up_department","tt6351354,tt9591640,tt11186894,tt10855546",-8.671542,4.871792
17,nm6269149,Joanie Becker,\N,\N,miscellaneous,tt3513520,-4.9849324,6.6596923
18,nm8144880,Anna-Kaisa Kemppi,\N,\N,"sound_department,music_department","tt13602484,tt18335856,tt16356516,tt6712394",-8.313832,6.2464695
19,nm0328960,Marvin Goodis,\N,\N,actor,tt0129672,-7.97403,4.7447057
20,nm1429847,Almir Cassiano,\N,\N,actor,tt0196837,-8.66438,6.258318
21,nm7785504,Virginia Vizente,\N,\N,costume_designer,"tt5108434,tt5357886,tt6148702",-5.3868413,6.9992747
22,nm5145339,Victor Sousa,\N,\N,actor,tt2252668,-7.282899,6.85324
23,nm1850590,Julie Ryning,\N,\N,music_department,tt0449640,-5.684244,5.4492583
24,nm6414769,James Graham,\N,\N,actor,"tt7405940,tt1091909,tt5877212,tt6881870",-7.2947464,3.484652
25,nm4903700,Doug Lyons,\N,\N,"actor,writer",tt6156654,-2.6564858,4.733149
26,nm2945630,Amy Kitson,\N,\N,producer,"tt1196708,tt1537237",-5.009033,8.954406
27,nm13155543,Joscha Wullweber,\N,\N,,tt1305639,-6.4430246,5.7233324
28,nm11522091,Melissa Mullins,\N,\N,,\N,-6.633651,7.2184663
29,nm0016265,Dion Albanese,\N,\N,actor,tt0080117,-6.50675,7.516113
30,nm7532444,Kévin Joubay,\N,\N,camera_department,"tt6200578,tt15881998,tt6390162,tt8444556",-7.7867875,5.482298
31,nm4411896,Kelli McLaughlin,\N,\N,,tt1001469,-6.884259,4.300394
32,nm2943234,Romano Benvenuti,\N,\N,transportation_department,tt0246677,-6.919572,7.401295
33,nm7659210,Forrest Forte,\N,\N,actor,tt4909328,-5.2348914,8.220892
34,nm0721071,Evelyne Rey,1930,1966,"actress,director","tt0137924,tt0047892,tt0051110,tt0047697",-8.711501,4.0583944
35,nm0482680,Raymond Lam,\N,\N,"camera_department,cinematographer,actor","tt1219827,tt0385004,tt1981128,tt0338564",-8.523989,4.240975
36,nm12054446,Matt Almond,\N,\N,miscellaneous,"tt5969074,tt13675278,tt6417190,tt13524666",-4.33525,6.239717
37,nm4400145,Katie Longawa,\N,\N,"editor,editorial_department,producer","tt3179402,tt1941630,tt2579312,tt1880174",-8.1523695,3.9833715
38,nm12349387,Mayuka Fujiwara,\N,\N,actress,"tt0184167,tt2352010",-6.9728026,5.7511783
39,nm13508223,Alexandra Quashie-McDonald,\N,\N,actress,tt18955874,-9.284029,5.747349
40,nm2395276,Dominique Pannell,\N,\N,actress,tt0864880,-5.281648,6.7249513
41,nm2318731,Stephanie A. Bello,\N,\N,"editorial_department,producer","tt0770796,tt0825483",-7.5083084,5.4173336
42,nm9936564,Joshua Sophrin,\N,\N,producer,tt7986670,-7.9333196,3.837173
