,nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,t-SNE Component 1,t-SNE Component 2
118,nm1365598,Peter Koning,\N,\N,camera_department,"tt1584736,tt1388820,tt0252629,tt0160216",-61.148693,7.6303263
119,nm4743137,Gary Sissel,\N,\N,actor,tt2082335,-51.292896,-39.03179
120,nm8447038,Carlos Huanes,\N,\N,assistant_director,tt5523020,1.8633622,-1.5063071
121,nm7817387,Doobie Siu,\N,\N,miscellaneous,tt5301422,18.301195,67.245026
122,nm3292644,Filio Tsaliki,\N,\N,actress,tt0366721,-26.981485,36.197292
123,nm8688010,Ulrich L.,\N,\N,,tt6393162,-48.712452,8.307594
124,nm9076485,Sebastian Knutsson,\N,\N,producer,"tt7036530,tt15290612",-38.29691,16.481016
125,nm0577460,W.R. Melchers,\N,\N,actor,tt0144620,-9.7386675,-27.046524
126,nm11539106,Chase,\N,\N,,tt11007040,-41.11591,-70.638306
127,nm11321408,Aleksandra Olsen,\N,\N,costume_designer,tt11554876,52.24753,1.689574
128,nm13738770,Warren Davis,\N,\N,actor,tt20880094,-14.429934,-65.87224
129,nm0003803,Donald Irvine,\N,\N,camera_department,"tt0120903,tt0217823",-21.812237,-33.408596
130,nm4210839,Sven R. Ohlson,\N,\N,art_department,tt1568346,-48.085438,19.813025
131,nm3626277,Daniel Everson,\N,\N,producer,"tt1513866,tt5763654",-42.377758,-4.101758
132,nm8933119,Ulises Sánchez-Flor,\N,\N,director,tt6797784,-2.7672954,-0.9640741
133,nm12312664,Bhumet Srichiraphath,\N,\N,actor,tt14036600,5.1689672,66.4281
134,nm7222888,Dalilah R. Nunez,\N,\N,,\N,15.681326,2.5889635
135,nm3461651,Elise Wilson,\N,\N,"director,producer",tt0891100,48.19222,-15.969794
136,nm10540127,Dan Paul Roberts,\N,\N,"producer,writer,composer","tt14662858,tt10073532,tt14663002,tt16273888",-52.94177,-9.357722
137,nm6824757,Mattias Bjarnemalm,\N,\N,,tt12946298,-2.8991535,14.6482525
138,nm7591110,Jalah Hutchins,\N,\N,actress,"tt10327138,tt5033124",-27.652863,26.092371
139,nm8222111,Julian Sarica Polo,\N,\N,"assistant_director,director,writer","tt5813698,tt8749066,tt27833131,tt8746986",-21.48287,5.786888
140,nm10097792,Süfyan Elmoumi,\N,\N,actor,"tt13207736,tt8948036",-20.337637,60.380836
141,nm14009073,Thalea Van de Walle,\N,\N,actress,\N,-23.801332,25.693773
142,nm1325349,Tania Oggero,\N,\N,actress,tt0216368,25.94806,29.410162
143,nm4313748,Greg Mulroy,\N,\N,miscellaneous,tt1839514,-59.829197,-35.56467
144,nm10099217,Hengyu Ni,\N,\N,assistant_director,tt8493962,19.382242,52.05448
145,nm5897007,Daniel Caruso,\N,\N,camera_department,tt2546024,-38.961903,-2.2583203
146,nm10444162,Boris Roux,\N,\N,actor,tt9700306,-43.0963,39.54976
147,nm12733109,Maria Blagoveshchensky,\N,\N,writer,tt14989608,42.689507,22.363123
148,nm10004749,Jo Donato,\N,\N,location_management,tt8743172,27.208578,22.881592
149,nm11244891,Claes Arvidsson,\N,\N,actor,tt11542758,-48.314228,21.500795
150,nm1376902,Michel d'Hoop,\N,\N,"director,writer,cinematographer","tt0826047,tt0257805",-13.135042,15.400228
151,nm12827460,Jed Kingi,\N,\N,sound_department,tt14894996,-29.47185,-6.1570196
152,nm12208235,Shawn Hazen,\N,\N,,\N,-27.83921,-61.60221
153,nm14601679,Ross Escobar Madrid,\N,\N,"director,writer",tt26910104,-3.397562,6.4573913
154,nm1366992,Massimo Giovannini,\N,\N,"actor,stunts","tt0318003,tt0123539",-16.681242,5.4741826
155,nm11672739,Samuel Burnard,\N,\N,,\N,-22.453724,-29.674208
156,nm3873831,Pierre van der Pol,\N,\N,,tt0945531,-58.47968,20.908112
157,nm1057830,Sunny Antrim,\N,\N,"producer,miscellaneous,art_department","tt0300051,tt0371257,tt0333766,tt0387514",16.06385,-7.3485847
158,nm2241651,Jason Jump,\N,\N,"actor,music_department","tt0795422,tt13428874",-31.50346,-44.36338
159,nm3462292,Charle Acierto,\N,\N,"editorial_department,editor,camera_department","tt8774876,tt5696762,tt1453428,tt1285219",-13.97131,25.618582
160,nm12677802,Maximillian Jerde,\N,\N,,tt2009536,-12.612946,32.104485
161,nm1877618,Yoko Kambai,1981,\N,camera_department,"tt5669390,tt0431641,tt0484281,tt0408470",30.234337,45.081066
162,nm9927380,Anki Nurminen,\N,\N,actress,tt8599474,19.841608,39.412056
163,nm6810281,Jeffrey Bazan,\N,\N,"director,writer",tt4078146,-54.103775,-29.328197
164,nm1848419,Elisabeth Oefner,\N,\N,cinematographer,tt0451120,69.64182,-5.8022294
165,nm0642477,Patty O'Reilly,\N,\N,"editor,editorial_department","tt0160264,tt0181508,tt0192800,tt0141355",61.890434,-14.301491
166,nm0051252,Ursula Baltschum,\N,\N,costume_designer,tt0155650,66.875656,4.529339
167,nm2190324,Meike Sudholz,\N,\N,"art_department,art_director,costume_designer","tt5125616,tt5133288,tt0806910,tt4214012",38.869736,29.544464
168,nm1420040,Soozie Eastman,\N,\N,"producer,director,miscellaneous","tt0375962,tt0878108,tt6101430,tt1857906",60.906944,-43.155243
169,nm9378247,Rose Schonblum,\N,\N,producer,tt7566656,59.918785,-1.428288
170,nm6717528,Jarrett Silberman,\N,\N,camera_department,tt3118296,-28.253262,-54.158077
171,nm14953230,Hend Elbalouty,\N,\N,art_director,tt28091163,-26.058588,45.147243
172,nm12800874,S.K. Veeragavan,\N,\N,actor,tt0105162,-2.0205708,78.76917
173,nm11133904,Emma Nagy,\N,\N,actress,\N,58.36628,-6.8098593
174,nm13319164,Ebba Hosche,\N,\N,,tt0883777,-8.558238,34.519756
175,nm3554441,Jesse Chapman,\N,\N,"music_department,miscellaneous","tt1483402,tt0284519",2.1206563,-47.418133
176,nm9250831,Chloe London,\N,\N,actress,tt4526136,43.383064,-28.461226
177,nm9611500,Natalie Karhapoltseva,\N,\N,"visual_effects,animation_department","tt5378092,tt4123432,tt4574334",40.544968,19.033417
178,nm9055873,Timur Rella,\N,\N,,tt6687458,1.365495,44.45055
179,nm12580737,Alihan Pehlivan,\N,\N,actor,"tt14666956,tt15462948",-16.014368,65.68172
180,nm6575867,Elodie du Detroit,\N,\N,composer,"tt3810482,tt8804304",-11.426096,24.807526
181,nm6863000,Aris Papadopoulos,\N,\N,miscellaneous,tt4142262,-23.417322,32.838306
182,nm11113334,Grzegorz Grochowski,\N,\N,actor,"tt0388626,tt1094354,tt14315566,tt0386946",-32.646374,28.09099
183,nm0109117,Jonathan 'JB' Brighman,1967,\N,"soundtrack,actor","tt0415306,tt0489049,tt0251075,tt0840361",-13.133865,74.22857
184,nm2624769,Troy Aldrich,\N,\N,miscellaneous,tt0119734,-17.662413,-61.948673
185,nm7264364,Sharon Hsu,1981,\N,actress,"tt3769148,tt7769340,tt4539742,tt3560742",65.74887,-7.147298
186,nm6223114,Alan Keogh,\N,\N,"sound_department,composer,miscellaneous","tt11324008,tt3180428,tt12546328,tt7936324",-28.677288,-23.19901
187,nm13172609,Namio Iwase,\N,\N,actress,tt0427854,13.455962,46.63644
188,nm1325634,Tim MacDowell,\N,\N,casting_department,tt0106934,-71.69486,-20.83025
189,nm11455403,Amin Saidul,\N,\N,,tt3808322,-28.480013,62.151695
190,nm6360933,Marcos LaMotta,\N,\N,"producer,director,executive","tt6076104,tt4409394,tt10401466,tt4664688",13.326589,-3.777073
191,nm2242973,Malika Benjelloun,\N,\N,actress,"tt0781429,tt10300722",28.596882,18.414917
192,nm1895777,Yoshiyuki Koido,\N,\N,"animation_department,visual_effects,art_department","tt0365498,tt0462422,tt0264208,tt0366186",32.098946,49.25429
193,nm13759512,Alexa Alice Kalyvas,\N,\N,,\N,47.34027,5.1834784
194,nm0832138,Robin Stone,\N,\N,actress,tt0220238,13.740811,-56.42697
195,nm2691873,Hans Snow,\N,\N,camera_department,"tt0068169,tt0244005",-51.7096,16.763952
196,nm9016340,John William Ault,1911,1990,"miscellaneous,actor","tt0076759,tt0089622",-16.935366,-18.154785
197,nm3205133,Rick Reed,\N,\N,actor,tt1327603,-31.34078,-61.316418
198,nm4696212,Scott Crouch,\N,\N,actor,tt2071564,-46.120068,-30.20953
199,nm4787711,Lars Friedrich,\N,\N,"writer,director,producer","tt0286398,tt1039883,tt4552256,tt15536250",-49.12987,19.585604
200,nm4572434,Tim Nowitzki,\N,\N,"cinematographer,camera_department,producer","tt2005183,tt2186426,tt5668218,tt3072110",-73.03969,-16.201218
201,nm8022011,Laurent Nyssen,\N,\N,art_department,"tt2583302,tt5396952,tt7653974",-38.96849,8.571215
202,nm12431433,Silvia Orth,\N,\N,miscellaneous,tt11725826,56.69557,16.836445
203,nm10151506,Willowrine Salmon,\N,\N,,\N,21.052433,-14.170237
204,nm4479623,Yanto Triplex,\N,\N,special_effects,tt1945106,28.395533,53.458252
205,nm6113375,Patrick Russell Burton,\N,\N,"actor,cinematographer,camera_department","tt8461416,tt4718840,tt4801080,tt3359354",-31.954735,-51.976757
206,nm12825334,Matija Gracin,\N,\N,,tt15155118,32.28272,29.67895
207,nm10769200,Doug Farrar,\N,\N,,tt1159866,-38.75626,-45.4339
208,nm2423089,Tim Pogue,\N,\N,producer,tt0829297,-72.451004,-20.753365
209,nm7061875,Zjanna Reinders,\N,\N,,\N,35.303665,29.226238
210,nm0530759,Boussif Moulay M'Barek,\N,\N,"costume_department,miscellaneous","tt0104082,tt0098544",-18.281523,23.934156
211,nm12252008,William Humphrey,\N,\N,,tt0450207,-3.409155,-40.672367
212,nm12769779,Tankrede Bulleux,\N,\N,camera_department,tt15073298,-12.909056,23.437742
213,nm9192685,Corey Scott,\N,\N,,\N,-46.786175,-32.991974
214,nm12365455,Batman 3000,\N,\N,,tt14153254,10.6925535,-62.532993
215,nm3689480,Victor Ituarte,\N,\N,editor,tt1542445,-25.84508,8.031446
216,nm7783419,Ayesha Jordan,\N,\N,,\N,42.568863,-22.568228
217,nm1791912,Paul Phillips,\N,\N,writer,tt0118435,-57.21906,-6.9775386
218,nm0719267,Édouard Renault,\N,\N,cinematographer,tt0007518,-25.015064,20.256824
219,nm12034785,Esther Müller-Zalc,\N,\N,actor,tt13004808,60.995884,14.580936
220,nm10705891,Olivia,\N,\N,,\N,77.35315,3.7794657
221,nm2270381,Katharina Henke,\N,\N,actress,tt0806042,46.513176,-0.78581756
222,nm4153587,Mary Wells,\N,\N,miscellaneous,tt0281190,51.42064,-42.18689
223,nm2203805,Sevgi Çelik,\N,\N,actress,"tt0781393,tt5335894",-4.2246656,42.155384
224,nm11274353,Ken Okuyama,\N,\N,producer,tt11380028,31.289032,51.719254
225,nm2925065,Daniel Manning,\N,\N,,\N,-31.613361,-48.59789
226,nm8022249,Teresa Thomas,\N,\N,art_director,tt0116546,27.259981,-28.934284
227,nm13968422,Binh Trinh,\N,\N,,"tt3868860,tt16425444",25.309687,72.48816
228,nm8562017,Bobbie Jeane Wheeler,\N,\N,,\N,42.32217,-44.215363
229,nm10989973,Jess Gupta,\N,\N,,\N,39.074345,-25.950722
230,nm8403156,Vlad Verheij,\N,\N,,\N,-35.25514,37.04109
231,nm7927788,Giuseppe Cuozzo,\N,\N,art_department,tt5365088,-15.60972,6.2631116
232,nm12967215,Charlie C. Lallerstedt,\N,\N,sound_department,tt14985136,-4.5214543,-24.730818
233,nm3926384,Injoon Hwang,\N,\N,visual_effects,"tt1663662,tt9777666,tt1631867,tt1098327",26.844711,67.11769
234,nm4700877,Tapas Sarkar,\N,\N,actor,"tt4270840,tt6935912,tt1593742,tt1590999",3.3586643,74.55498
235,nm2682394,Scott Hartwig,\N,\N,writer,"tt0357400,tt5223058,tt5261756,tt1786420",-48.15679,-32.476254
236,nm0104671,Heinz Theo Branding,1928,2013,"actor,miscellaneous","tt1611187,tt0211107,tt0062721,tt0383336",-41.867466,19.297245
237,nm10769078,Abdul Raman,\N,\N,actor,"tt26921003,tt1627578,tt15114416,tt15405476",-18.100378,65.53716
238,nm12990422,Mitch Zeltzer,\N,\N,"writer,cinematographer,editor",\N,-55.711452,1.2249147
239,nm1410455,Markéta Coufalová,1978,\N,actress,"tt10687052,tt0845648,tt0328778,tt0374086",4.0595336,27.145351
240,nm12479620,Lizbeth Marchant,\N,\N,,\N,70.777016,-28.695896
241,nm0122793,Matt Burns,\N,\N,"actor,stunts","tt0081233,tt0074466,tt0091964,tt0079444",-46.211475,-39.86127
242,nm7582927,Hideyuki Yanagisawa,\N,\N,"visual_effects,production_manager,miscellaneous","tt2230051,tt3794354,tt20518526,tt12412888",32.954666,47.986446
243,nm1997259,Jet Filipino,\N,\N,actor,tt0246425,10.15405,49.29117
244,nm7832041,Richard Fuksa,\N,\N,camera_department,tt3849810,-39.459908,-15.852124
245,nm14193492,P. Williamson,\N,\N,,\N,9.003068,-49.140514
246,nm9031172,Daniel Christian,\N,\N,producer,tt6955878,-40.27833,-4.030084
247,nm6971915,Ron Jackson,\N,\N,transportation_department,tt0758771,-0.25851923,-33.843296
248,nm4526828,Willy Klerks,\N,\N,writer,"tt0179056,tt0112012,tt0387750",-52.030342,5.8145857
249,nm9515436,Jessica Lynn Lewis,\N,\N,actor,tt8060686,40.36447,-27.808308
250,nm12640225,Dilen De Zilva,\N,\N,,"tt25435398,tt14796848",-5.040479,38.11722
251,nm6755983,Tanja Pancic,\N,\N,"actress,writer","tt12770068,tt4022158,tt27957909",27.738441,29.076092
252,nm4417923,Joel Lucas,\N,\N,editor,"tt1893293,tt14449910",-25.714054,-8.481554
253,nm10924596,Lemonheart Nakajima,\N,\N,director,"tt11429452,tt11099416,tt10831638",27.270441,47.400326
254,nm11938736,Ananya Klein,\N,\N,actor,tt13187834,27.236597,27.260221
255,nm12052459,Rochelle Besser,\N,\N,actress,tt4024906,48.64672,-46.190132
256,nm7033599,Elizabeth Gerarty,\N,\N,producer,tt4329516,71.97205,-27.254854
257,nm3719551,David Dugan,\N,\N,writer,tt0071034,-36.176884,-21.57554
258,nm6694080,Alfredo Dominguez,\N,\N,camera_department,"tt5608426,tt5341504,tt3910952",6.6489716,-0.5869517
259,nm8875991,Dwip Bhattacharya,\N,\N,actor,tt6694312,4.9475713,69.5673
260,nm13288082,Amber Moore,\N,\N,,tt16987692,50.51553,-13.885805
261,nm0877915,Tom Turner,\N,\N,actor,"tt0089319,tt0072153",-36.87733,-27.64729
262,nm8176852,Ambrogio Meschini,\N,\N,transportation_department,tt0113849,-18.161163,8.278716
263,nm8810186,Nora El Abdouni,\N,\N,,tt5809710,43.237186,13.923561
264,nm14834667,Scarlet Woo,\N,\N,visual_effects,tt4489416,49.674156,-3.6185837
265,nm9391778,Phikria Bichinashvili,\N,\N,actress,"tt23398438,tt7582782",40.31116,24.822252
266,nm7596053,Aaron Greenberg,\N,\N,,\N,-56.731953,-54.57203
267,nm8779067,V. Bezelyuk,\N,\N,costume_designer,"tt0346891,tt0169556",-35.829517,29.233883
268,nm12418748,Dima Khachaturov,\N,\N,editor,tt14280268,-34.379448,41.81625
269,nm10529360,Meiqiang Ge,\N,\N,actor,"tt0040009,tt1580409",31.561409,75.09034
270,nm1230911,James Bennett,\N,\N,camera_department,tt0166844,3.243217,-42.104015
271,nm10390116,Christopher Watson,\N,\N,art_department,tt0116654,-26.872944,-48.68929
272,nm10477587,Christoph L. Dorocant,\N,\N,"actor,sound_department","tt14081878,tt9774678,tt14199590",-34.52816,-3.9257863
273,nm12347274,Nico Hughes,\N,\N,,\N,-28.526617,-68.09221
274,nm0598179,Filipa Monjardino,\N,\N,miscellaneous,tt0107151,6.2154217,9.538161
275,nm1201055,Jon Webster,\N,\N,sound_department,tt0432097,-10.035928,-33.737873
