,nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,t-SNE Component 1,t-SNE Component 2
0,nm11667011,Nick Oldfield,\N,\N,,tt22750894,-49.294006,-61.023308
1,nm8973987,Khaled Mohasseb,\N,\N,sound_department,tt6839768,-22.044636,62.779087
2,nm4774165,Damian Hattori,\N,\N,"art_department,costume_department,production_designer","tt3565412,tt1378167,tt3138104,tt1276104",-18.621054,-3.1734955
3,nm10633006,Rajnald Köröshegyi,\N,\N,,tt10212576,-0.79488635,68.90303
4,nm3607436,Boris Izyumsky,\N,\N,writer,"tt1508236,tt0313885",-39.331432,37.730003
5,nm0700538,Joan Puma,\N,\N,"script_department,make_up_department,costume_department","tt0077713,tt0330793,tt0356618,tt0378109",24.066364,20.186056
6,nm4211443,Razvan Dumitru,\N,\N,"writer,visual_effects,art_department","tt12004038,tt9110902,tt1787832",-20.232481,50.145214
7,nm2500840,Maya Murillo,\N,\N,"actress,director,editor","tt18967746,tt7448634,tt25393118,tt7725422",24.123753,12.515255
8,nm5652576,Erik Thein,\N,\N,"camera_department,director,writer","tt3111306,tt2963406,tt22005970,tt2881714",-32.421288,-3.0589888
9,nm4924493,Gil Asakawa,\N,\N,,\N,10.960735,-12.969929
10,nm5772714,Thomas Winsor,\N,\N,,\N,-19.305649,-20.952112
11,nm12951995,Mark Barrett,\N,\N,sound_department,tt15458404,-24.370392,-14.5795765
12,nm9272670,Craig Grogan,\N,\N,,\N,-40.257347,-28.173252
13,nm3891264,Kenneth Møller Pedersen,\N,\N,art_department,tt1535505,-47.09896,22.814556
14,nm7227333,Trish Young,\N,\N,"camera_department,cinematographer,director","tt7683118,tt9511354,tt1091909,tt6534536",22.352207,-35.501186
15,nm4991042,Erica Benson,\N,\N,art_department,"tt2255452,tt2829500,tt2227980,tt0221381",55.537247,-11.172159
16,nm9957859,Samantha Mcgarry,\N,\N,miscellaneous,tt8670856,37.832302,-20.000536
17,nm12496305,Gregoire Delesalle,\N,\N,"director,writer,editorial_department","tt27159520,tt14471640",-24.790234,17.49524
18,nm9550765,Doguie Brown,\N,\N,"composer,sound_department","tt8081882,tt7830476",25.434835,-40.190643
19,nm14050026,John Lopez,\N,\N,miscellaneous,tt17525252,13.86159,-2.5250115
20,nm11364747,Fanny Malmberg,\N,\N,casting_department,tt11554416,60.923836,1.4994464
21,nm11558425,Maksim Makarov,\N,\N,actor,tt12273632,-33.392193,43.23317
22,nm6020627,Nicole Umali,\N,\N,actress,"tt12164342,tt3265668",43.170017,-4.040568
23,nm13262491,Bill Black,\N,\N,actor,tt0940900,-5.54806,-57.650986
24,nm9898558,Lee Yost,\N,\N,,tt1821512,-47.854427,-47.682823
25,nm8730877,Victor Sadrasangra,\N,\N,production_manager,tt6384918,-26.003939,7.9818687
26,nm8842966,Eric Eide,\N,\N,,\N,-10.287675,-22.49888
27,nm6177684,Piero Liberati,\N,\N,,tt3302498,-14.914938,6.8203692
28,nm5946613,Ng Xi Jie,\N,\N,casting_director,tt3186122,30.693779,74.78391
29,nm4400255,Dustin Evans,\N,\N,actor,tt0098844,-30.611746,-64.28701
30,nm14176750,Elliot Wilson,\N,\N,,tt15241824,-5.9448514,-43.717392
31,nm5120750,Blaze Linn,\N,\N,"make_up_department,actor","tt2208772,tt2410144,tt4432804,tt4139336",-28.116863,-61.871246
32,nm6264078,Antonio Bustamante,\N,\N,,tt0486531,-4.6596327,-0.5835303
33,nm12242197,Diana Akmakjian,\N,\N,,\N,39.39156,3.9041142
34,nm7413626,Grace Lin,\N,\N,,\N,42.875847,68.30009
35,nm10681171,Lucy Ayoub,1992,\N,actress,"tt0891398,tt28231892,tt4565380,tt23059694",71.23662,7.7200327
36,nm7743589,Dante de Noia,\N,\N,"writer,producer",tt5216188,-20.875015,-2.2165887
37,nm7009438,Mark Chester,\N,\N,composer,tt4291580,-55.262505,-17.501242
38,nm14597239,Rohit Patil,\N,\N,cinematographer,"tt26898728,tt28089900",-8.629565,73.972664
39,nm13068771,Anthony LaTorella,\N,\N,,\N,-19.93556,4.047344
40,nm0324445,Karl-Heinz Goertz,\N,\N,actor,tt0116485,-36.802544,26.916353
41,nm5350751,Jill Wang,\N,\N,visual_effects,"tt4242158,tt6138688,tt6908536,tt7638330",41.950035,67.1677
42,nm4260045,Artem Avakian,\N,\N,"cinematographer,camera_department,editor","tt5243186,tt1972580,tt1814876",-34.67044,38.5466
43,nm0995244,Louise Osbourne,\N,\N,"actress,visual_effects,miscellaneous","tt0131369,tt0240462,tt0265029,tt14182840",61.74136,-25.996609
44,nm12230197,Jim Polito,\N,\N,,tt4048626,-37.643364,-65.734634
45,nm3946447,Péter Balázs Kiss,1989,\N,"actor,assistant_director","tt4338336,tt13430832,tt9055242,tt0446224",-50.491543,35.108902
46,nm7196480,Javier Tisera,\N,\N,"actor,writer","tt15435890,tt15436242,tt4530150",-1.0928293,0.7967246
47,nm0500926,Birgit Lelek,\N,\N,"production_manager,miscellaneous","tt0104809,tt0114267,tt0089329,tt0078472",-9.901453,46.37678
48,nm5567365,Pedro Rengifo,\N,\N,cinematographer,tt2767822,-2.3376734,-10.666012
49,nm11376945,Karen Dunwell,\N,\N,,tt2076566,76.63308,-12.303267
50,nm0792879,Tatyana Shestakova,1948,\N,"actress,writer","tt0070713,tt0091251,tt0091773,tt0176601",39.971317,21.905437
51,nm5791596,Antonio Turok,\N,\N,camera_department,"tt1127883,tt14176542",-28.516037,10.573964
52,nm8369518,Robert Ahdoot,\N,\N,producer,tt5974292,-35.65648,-7.5573735
53,nm7219303,Roslyn Park,\N,\N,"miscellaneous,producer,location_management","tt7756150,tt4882708,tt5966138,tt5902614",22.480345,37.161495
54,nm12342301,Ariana Romo,\N,\N,"director,writer",tt14103084,14.784305,-9.994943
55,nm9284178,Al Turner II,\N,\N,actor,tt7391626,-37.011425,-26.447754
56,nm10298157,Isil Akkoyunlu,\N,\N,actress,"tt0845088,tt13920198,tt14071428",0.0878743,53.93786
57,nm1044781,Tor Baxter,\N,\N,art_department,"tt1496025,tt0343818,tt5651844,tt0290334",-35.62246,-50.331234
58,nm6678341,Christian Minerly,\N,\N,actor,tt4442132,9.066376,-21.956245
59,nm4238446,Beth Bailey,\N,\N,"editor,producer",tt1790788,52.841785,-28.549269
60,nm8093755,Sean Jones,\N,\N,,\N,-13.6524935,-47.51013
61,nm6313608,Emma Whittard,\N,\N,,\N,57.099705,-6.9494095
62,nm9609962,George Gaylor,\N,\N,camera_department,tt7966698,-30.381308,-8.215054
63,nm8768563,Roman Garcia,\N,\N,actor,tt6515214,10.61023,-2.0799296
64,nm6682684,Jill Niedoba,\N,\N,actress,"tt5919756,tt11978072,tt1043813,tt2983222",50.522915,-24.472036
65,nm11134066,Jade Gunner,\N,\N,sound_department,tt5691474,24.01274,-16.082989
66,nm0438985,Sergei Karasyov,\N,\N,transportation_department,"tt0113633,tt0113634",-37.95209,39.659187
67,nm2617304,Sebastian De Grandis,\N,\N,actor,tt0235393,-8.038536,3.3859255
68,nm9035482,Alekh Kumar,\N,\N,visual_effects,tt6224502,-3.7924864,73.9084
69,nm5630355,Bruno Carranco García,\N,\N,"actor,stunts","tt2844434,tt14765736,tt3188682",8.927404,-0.7164834
70,nm0379629,Letty Hernandez,\N,\N,"editor,miscellaneous,casting_department","tt0280672,tt1938990,tt1938991,tt0452618",18.26198,3.2618918
71,nm4305368,Kenny Cowburn,\N,\N,"camera_department,cinematographer,art_department","tt8896862,tt7205046,tt1833780,tt8897032",-47.75142,-43.75526
72,nm4596178,Kit & the Widow,\N,\N,,"tt21031380,tt0165011,tt0273383,tt0083504",30.17811,-53.36348
73,nm7609667,Justice Strong,\N,\N,actor,"tt5057916,tt9788898,tt5057888,tt7472964",10.586778,-23.269567
74,nm3806361,Taylor Harrington,1983,\N,"producer,editor,visual_effects","tt11649646,tt3742366,tt12819466,tt3237744",-16.77938,-58.704018
75,nm9960452,Gerald Clark,\N,\N,music_department,tt5847222,-33.31924,-36.070763
76,nm2199112,John Pappadakis,\N,\N,"writer,producer","tt20782514,tt0066007",-3.6022804,-27.295778
77,nm4385749,Bobby Tsukamoto,\N,\N,music_department,tt0486531,34.306583,52.00252
78,nm13065346,Hiroaki Watanabe,\N,\N,,tt15769050,30.000004,47.031204
79,nm14098772,Rebecca Meyer,\N,\N,art_department,tt0285335,49.361885,-30.65125
80,nm3849218,Jean-Baptiste Saurel,\N,\N,"director,writer,cinematographer","tt27788030,tt2727100,tt10885700,tt2235766",-21.790327,20.125048
81,nm4515336,Markus Kublin,\N,\N,"actor,director,writer","tt3231706,tt1970044",-41.21047,16.668657
82,nm1037894,Gunther Hermann,\N,\N,camera_department,tt0806901,-50.208138,9.159402
83,nm13516038,Heidi Bartholomew,\N,\N,art_department,tt13016388,52.421707,-6.7574587
84,nm11649925,Ralf Wrobel,\N,\N,assistant_director,tt2665816,-42.598362,2.856319
85,nm11774273,Mahmoud Guendouz,\N,\N,,tt0397220,-23.227411,64.10148
86,nm13164540,Martin Glac,\N,\N,actor,tt16261132,-41.824978,7.8013496
87,nm2172136,Sergey Agin,\N,\N,"production_designer,art_department","tt5157456,tt1023123,tt12200256,tt8769146",-38.44009,41.339176
88,nm10582862,Sukhjinder Singh Babbal,\N,\N,writer,"tt6673682,tt10102192,tt12055210",-11.005775,74.3368
89,nm13052964,Jeannie Wilson,\N,\N,,tt13951868,17.288338,-25.820387
90,nm13603923,Jyoti Kanwar,\N,\N,,\N,2.305222,66.32063
91,nm10696192,Katia Mefino,\N,\N,actress,tt10333920,44.108936,-0.039197087
92,nm0714975,Richard Redlin,\N,\N,camera_department,"tt0094894,tt0218967,tt0300556,tt0289765",-41.922436,-14.903177
93,nm4814288,Cyril Bordat,\N,\N,miscellaneous,tt2128691,-35.328217,11.822378
94,nm13240604,Steve Mercier,\N,\N,,tt13555630,-48.819347,-28.878733
95,nm0868625,Enoch Torres,\N,\N,actor,tt0056322,-0.83894396,-5.549138
96,nm13382042,Marcelo Ignacio Bernardini,\N,\N,producer,tt16155872,5.5533233,4.844395
97,nm14495123,Egle Dominiene,\N,\N,script_department,tt26443589,-10.0396805,33.40968
98,nm7350086,Hsiao-Ching Chou,\N,\N,,\N,32.99967,68.40916
99,nm0325628,Marvin Goldhar,1934,2002,actor,"tt0082244,tt0176382,tt0131183,tt0253375",0.37990245,-22.813437
100,nm13167770,Dave Nair,\N,\N,actor,tt16271772,-60.6297,-12.055868
101,nm4195700,John Chrobak,\N,\N,actor,tt1619647,-1.2852801,-28.427025
102,nm0236226,Michael Dowse,1973,\N,"director,writer,producer","tt1456635,tt0388139,tt7734218,tt1486834",-18.68243,-26.588377
103,nm12883258,Manjith Singh Rajput,\N,\N,,\N,-5.9420605,76.85327
104,nm9544601,Katherine Taylor,\N,\N,,tt3644198,27.801418,-35.349213
105,nm0598531,Mark Monroe,\N,\N,"producer,writer,director","tt11382384,tt8394980,tt6333060,tt12971802",18.459055,-48.63032
106,nm13874474,Iman Ben Fallah,\N,\N,make_up_department,tt21331056,-8.998273,54.98527
107,nm5883130,Devin Moore,\N,\N,art_department,tt3117926,-5.0352197,-63.226254
108,nm14252678,Matthew Tyrie,\N,\N,actor,tt1686677,-41.573566,-39.12289
109,nm11223413,Maria Toporowicz,\N,\N,actress,tt9494016,42.728065,22.524883
110,nm13004045,Mukesh,2000,\N,actor,"tt7529298,tt10598156,tt11460992,tt11873440",-10.103189,58.647995
111,nm7960607,Liu Xianying,1977,\N,,"tt0471985,tt0397208,tt0347692,tt1517514",36.116245,73.28604
112,nm11922524,Ramchandra Gopalrao Nimkar,\N,\N,composer,tt13149238,-2.1726403,77.46588
113,nm6072141,Naomi Blas Soriano,\N,\N,actor,tt3319062,24.48287,15.206638
114,nm14616298,Madhvi,\N,\N,actress,tt15752618,-0.50995505,65.00352
115,nm14328994,Paul Hart,\N,\N,"art_department,camera_department",tt6263066,-57.73095,-9.670901
116,nm9045435,Veronika Wagner,\N,\N,director,tt6979690,48.178658,26.684288
117,nm3200798,Lutz Braune,\N,\N,director,"tt7304284,tt2825492,tt1325222,tt14182566",-54.683475,3.1849682
