,nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,UMAP Component 1,UMAP Component 2
76,nm8167526,Heidi Haarsager,\N,\N,actress,tt5443920,6.328359,5.038237
77,nm0937335,Acki Woerler,\N,\N,sound_department,"tt0806910,tt0821060",8.745454,7.57033
78,nm1054641,Charles LaBella,\N,\N,,\N,11.111182,1.8693087
79,nm5035669,Alison Stapley,\N,\N,"art_department,casting_director,producer","tt2266202,tt1343001,tt2389809",4.814604,3.4025426
80,nm13992547,Javi Playmg,\N,\N,actor,\N,8.664608,6.3562727
81,nm7545273,Chloe Cerami,\N,\N,art_department,tt4970664,3.9895673,4.2007313
82,nm14242389,Laurence Bruyere,\N,\N,stunts,tt22247450,9.965622,3.1218283
83,nm1970905,Paco Abraham,\N,\N,camera_department,tt0469917,11.218212,4.1420045
84,nm6053069,Amélie Andria,\N,\N,actress,tt3298878,7.10121,4.78882
85,nm10746055,Taner Kayar,\N,\N,actor,tt10444082,9.513458,6.360341
86,nm9160327,Daniel Travelstead,\N,\N,actor,tt7182678,11.000531,2.4357698
87,nm14827565,Olumide Olu Ojo,\N,\N,miscellaneous,tt27415828,9.064861,6.301798
88,nm9454981,Andrew David James,\N,\N,actor,tt6660456,10.300518,1.5763862
89,nm10569437,Josu Canive Moreno,\N,\N,miscellaneous,"tt3370540,tt4284050",11.733095,3.6913939
90,nm1066166,Ivo Novák,1967,\N,actor,"tt0443543,tt1229238,tt0367959,tt0328778",9.635299,4.814255
91,nm14496002,Andrew Buchan,\N,\N,sound_department,tt0316973,9.834482,1.6801801
92,nm4983573,Juan Bisco,\N,\N,miscellaneous,"tt2230275,tt3221748,tt14965810,tt2875752",12.063404,4.284178
93,nm7906570,Summer R. Benton,\N,\N,,"tt4781664,tt9303692,tt4189570,tt0423652",7.614106,2.5129037
94,nm12916788,Jo Whitton,\N,\N,,tt11252750,8.195926,4.769204
95,nm12185994,Rohail Noor,\N,\N,camera_department,"tt13773650,tt28248337,tt13723100",9.86335,6.8522835
96,nm10600752,Rodney De La Paz,\N,\N,camera_department,tt8364112,11.416821,4.529587
97,nm6669892,Alexander Auf Der Heyde,\N,\N,actor,tt3905022,9.738319,3.5237482
98,nm8130563,Abhishek Nair,\N,\N,music_department,tt5706496,9.761165,7.2748375
99,nm7538376,Amber Leigh,\N,\N,actress,"tt5153598,tt4973348,tt4963488,tt5006196",5.6723866,2.6946416
100,nm4158759,Pat Brown,\N,\N,,\N,9.74708,0.42762485
101,nm1356817,Steve Vandemzem,\N,\N,camera_department,tt0157000,9.825254,2.3375366
102,nm14613178,Bobby Crear,\N,\N,"writer,producer",tt26936047,10.286939,1.5652988
103,nm3902699,Melanie Baumgartner,\N,\N,,tt1244657,5.2142916,5.0696564
104,nm5371607,Chenglin Tian,\N,\N,production_manager,tt2339980,7.083802,7.862225
105,nm2507319,Ernesto Rivas,\N,\N,miscellaneous,tt5192278,11.790827,4.314081
106,nm12306150,Sagar,\N,\N,actor,tt14021188,9.567498,6.8589144
107,nm3063440,Maren Flottmann,\N,\N,,tt0317022,10.173764,4.364933
108,nm12748781,Marta Cillan,\N,\N,actress,tt15026914,7.9485855,5.621516
109,nm4206048,Iria Loureiro,\N,\N,actress,"tt1726637,tt2642020",10.034046,5.1242166
110,nm12770800,Arianna Hardin,\N,\N,actress,tt15070874,6.624408,4.8041205
111,nm2135210,Guillermo Diaz,\N,\N,transportation_department,tt0426606,11.732915,4.2846675
112,nm0515070,Kimmo Liukkonen,\N,\N,actor,"tt0142774,tt0142887,tt0100390,tt1929302",8.613891,7.620944
113,nm0596902,Louis Molino,\N,\N,actor,tt0094237,10.416534,1.926274
114,nm4776664,Ulises Lago,\N,\N,producer,tt2106389,9.743727,5.843059
115,nm10966644,Hannah Han,\N,\N,miscellaneous,tt0472989,4.9311647,3.8079095
116,nm3689806,Andrew Lassen,\N,\N,actor,"tt1543311,tt1543308",10.420541,0.9052827
117,nm8837566,Arnaud Mattlinger,\N,\N,actor,tt5925968,9.932817,3.47044
118,nm10940117,Beauty Kolade,\N,\N,,tt10869448,7.2181687,5.8348203
119,nm13655298,Rylan Bomberry,\N,\N,actress,tt13942230,8.457485,3.92037
120,nm4354465,Ado G. Elipe,\N,\N,editor,"tt16410932,tt1855284",10.241058,5.3788238
121,nm11890148,Henriette Gally,\N,\N,costume_department,tt0357777,10.102543,3.7421196
122,nm4014935,Otto Jahn,\N,\N,assistant_director,tt0024724,8.743431,3.0221138
123,nm0818794,Hans Spilliaert,\N,\N,"director,writer,producer","tt0272228,tt0460391",9.148986,3.4125407
124,nm3033831,Raj Richarson,\N,\N,actress,"tt1241702,tt9752158",9.976795,7.9800315
125,nm11366299,Feng Shishun,\N,\N,animation_department,tt10936548,7.213678,7.989871
126,nm3651744,Harold Minniear,\N,\N,"writer,producer",tt1530502,9.699698,0.4578666
127,nm3974161,Molly Strader,\N,\N,,tt1682913,5.882753,3.9230196
128,nm4699334,Yung Brodee,\N,\N,writer,tt2072997,7.5016193,7.52985
129,nm1395979,May Norton,\N,\N,actress,"tt0033975,tt0035095",5.970351,3.3648145
130,nm10061619,Justyna Jasko,\N,\N,actress,tt8793970,8.879084,5.555433
131,nm2640827,Michael Herkenrath,\N,\N,actor,tt0064219,9.225209,2.1030126
132,nm4099290,Jonna Gillis,\N,\N,actress,tt1715879,5.5128946,4.3217425
133,nm8226460,Nikolay Bukhalov,1967,\N,actor,"tt5176716,tt0397127",8.92251,4.105518
134,nm3138899,Roberte Hamayon,\N,\N,music_department,"tt0372060,tt0071429",9.241315,2.2038262
135,nm3172328,Paul Malewitz,\N,\N,"writer,miscellaneous,actor","tt1646038,tt6633870,tt1414298,tt3558630",10.282938,2.326994
136,nm7929112,Babis Kourtaras,\N,\N,actor,tt5462832,9.166182,6.1228404
137,nm5902272,Frank Fosco,\N,\N,art_department,tt0187635,10.765677,2.5482175
138,nm7662839,Julia Ærensgaard Hauge Alminde,\N,\N,actress,tt4436094,6.5879574,4.3951235
139,nm13960240,Timothy J. Beckage,\N,\N,"music_department,composer","tt14321700,tt21839788",7.87847,1.4170492
140,nm8439214,Hall Wallace,\N,\N,,tt2076566,8.320323,0.9205472
141,nm9244104,Monique van Warmerdam,\N,\N,art_department,tt7321782,5.8755717,4.8250527
142,nm10942803,Viktoriya Raidos,\N,\N,,"tt8988416,tt27330429",8.1872635,5.939448
143,nm2773530,Niall Madden,\N,\N,,tt0239185,8.488895,1.5545049
144,nm4217469,Andrea Stretton,1952,2007,script_department,"tt0375824,tt0309743,tt1792611",7.4704313,4.270101
145,nm12148013,Runar Sandvik,\N,\N,camera_department,tt13646766,9.14848,4.951338
146,nm9268266,Yan Feng,\N,\N,"sound_department,actress","tt7599904,tt7778030,tt7365576,tt7599406",7.2397943,7.8660364
147,nm2305823,Dave Bishop,\N,\N,"miscellaneous,producer","tt3464902,tt9305634,tt5918982,tt5155780",9.09989,0.89013803
148,nm3137419,Raimund Lang,\N,\N,actor,"tt2282695,tt0233786,tt4384578,tt0149449",9.46083,7.733293
149,nm3726047,Yali Sharon,\N,\N,"editor,editorial_department,director","tt3846216,tt1758755,tt5201898,tt1588754",8.942157,7.7690225
150,nm1376900,Karin Zwinscher,\N,\N,editor,tt0366515,6.07668,6.050867
151,nm2365323,Kevin Kolczynski,\N,\N,,\N,8.890458,3.2769282
152,nm6339943,Laura B. Vallenes,\N,\N,actress,"tt3604598,tt8034372",4.706767,2.8772562
153,nm13789950,Shoib Balti,\N,\N,actor,tt21116580,9.542288,8.183626
154,nm14626704,Ian Hickinbotham,\N,\N,,tt6168110,10.336824,0.859116
155,nm11027022,Gloria Georgieva,\N,\N,actress,tt1206885,5.7772384,4.866706
156,nm8722143,Wade Symons,\N,\N,"actor,composer",tt6442942,9.82035,0.2593332
157,nm3989823,Agnieszka Wilkosz,\N,\N,actress,"tt0389670,tt1726304,tt1673344",8.7071705,5.142765
158,nm7567772,Hiram Rowland,\N,\N,,\N,9.925671,1.0694034
159,nm14361020,Cédric Privé,\N,\N,music_department,tt0808417,9.652032,3.4535232
160,nm13506911,Michael Giannini,\N,\N,,\N,10.328349,4.53879
161,nm0090758,Beppie Boda-Visser,1911,1978,actress,tt0028067,11.37727,2.7504978
162,nm11496271,Jon Rogstad,\N,\N,miscellaneous,"tt12140060,tt14894864",9.977743,2.6242743
163,nm9938788,Mimis Domazos,\N,\N,,"tt16409364,tt18301988,tt16752972,tt8630270",6.704562,5.3200507
164,nm12573083,Sara Campos,\N,\N,,tt2105106,5.3190045,4.784961
165,nm8895826,Lise Bové,\N,\N,costume_department,tt6732224,10.00795,5.548742
166,nm10220364,Jackie Parker,\N,\N,make_up_department,tt6438108,7.4208255,2.209652
167,nm9771139,Melissa Kruchten,\N,\N,,\N,4.6387343,3.7410543
168,nm4365245,Mary Jane Salvanera,\N,\N,actress,tt0300202,5.551142,2.930415
169,nm7912602,Daniel Watkins,\N,\N,actor,tt3445580,9.2454405,0.32782412
170,nm6944892,Thomas Holzgruber,\N,\N,,tt3430150,9.433747,2.6804242
171,nm10405527,Yiu-Yuen Woo,\N,\N,miscellaneous,tt0305647,7.126077,7.752442
172,nm9699085,Kyle Sun,\N,\N,,\N,7.690706,0.49126267
173,nm1630419,Zvonko Nemcic,\N,\N,,\N,8.723355,5.415367
174,nm5857583,Gijs Pronk,\N,\N,composer,tt3104162,7.772729,5.1850433
175,nm7176993,Pau Roca,\N,\N,,\N,11.330257,4.4263473
176,nm7793419,Patrick Purser,\N,\N,actor,"tt8730564,tt7860872,tt4844344,tt5997090",8.283987,1.9482402
177,nm10250616,Takashi Kubota,\N,\N,miscellaneous,tt2397170,8.559195,7.8040066
178,nm15107559,Bianca Marie,\N,\N,actress,tt28281412,6.6805606,4.776098
179,nm14541195,Melissa Libran,\N,\N,location_management,\N,4.5280952,3.661778
180,nm3332129,Gregory Smith,\N,\N,,\N,9.680205,0.925562
181,nm10695860,Phoebe Gavula,\N,\N,actress,tt10335656,5.7063375,4.08011
182,nm6658187,Sonia Gasser,\N,\N,actress,tt0103473,7.132605,6.192451
183,nm3912200,Hanna-Lore Koehn,\N,\N,actress,"tt0356255,tt1653843",4.98936,3.7634904
184,nm2008793,Manu de la Reina,\N,\N,"editor,editorial_department","tt0480892,tt6234954,tt0346045,tt3248934",10.184728,5.4218097
185,nm7862594,Yaninas Viegas Mendonça,\N,\N,costume_department,tt5350088,7.974186,7.117173
186,nm7140954,Christian Erali,\N,\N,writer,tt3729822,10.1957445,4.1097198
187,nm4825160,Bill Riley,\N,\N,,tt1571057,8.0076275,1.1918329
188,nm5207180,Emily O'Neill,\N,\N,"producer,miscellaneous","tt1865379,tt2637790,tt2201257",4.073803,3.120553
189,nm12367690,Ana Duffey,\N,\N,producer,tt14159674,5.239413,3.6490989
190,nm11394495,Elaine Maher,\N,\N,make_up_department,tt11899164,5.9120054,4.1947927
191,nm11046367,Isosa,\N,\N,,\N,9.143967,7.113942
192,nm15003405,Alveera Tasnim,\N,\N,"art_department,costume_designer",\N,9.680579,6.012234
193,nm13178991,Taiwo Ogunde,\N,\N,"editorial_department,sound_department,editor","tt20420658,tt21047020,tt21328582,tt16749182",8.396641,7.685682
194,nm1399003,Dabboo Ratnani,1971,\N,"miscellaneous,camera_department,actor","tt0284811,tt0117374,tt0242519,tt0200087",9.173116,6.9919896
195,nm8806174,Jacqueline Hekneby,\N,\N,actress,tt12182898,6.2806425,4.3228426
196,nm12601888,Paul Conti,\N,\N,camera_department,tt6902332,10.67411,1.3931298
197,nm12572339,Ester Martins Faria,\N,\N,actor,tt14648236,9.70177,4.742143
198,nm12760860,Daniel Price,\N,\N,actor,tt15052764,11.132981,2.3774433
199,nm12721114,Luke McCullough,\N,\N,,tt14109636,8.429128,0.30292717
200,nm14818799,Calina Glasgow,\N,\N,writer,tt27669500,7.6291766,4.2792907
201,nm3180022,Rebecca Huang,\N,\N,actress,tt1316085,6.8801594,7.696188
202,nm12936855,Daan Kamphorst,\N,\N,"cinematographer,script_department","tt15426204,tt18573534",9.398753,7.0022426
203,nm13953928,Candace Clement,\N,\N,,\N,5.6978536,4.382389
204,nm1159417,Minoru Kida,\N,\N,"writer,sound_department,miscellaneous","tt20223562,tt0050269,tt2007381",8.637913,6.752882
205,nm9111066,Yuto Domon,\N,\N,actor,tt7105012,8.5301285,6.871312
206,nm5554743,Caroline Daye,\N,\N,make_up_department,"tt0829150,tt1781715,tt2771200,tt9243804",5.9354463,3.4224718
207,nm5940971,Megan Robertson,\N,\N,actress,tt2784036,5.4831533,6.0887704
208,nm5251195,João Francisco,\N,\N,actor,tt0274681,11.031653,4.9294915
209,nm0436399,P.K. Kamalakshmi,\N,\N,actress,"tt0251383,tt0251754",9.852748,7.9279695
210,nm8046250,Michelle Shephard,\N,\N,camera_department,tt0094481,5.349927,5.1701336
211,nm4908012,Wanni Yu,\N,\N,,tt1785123,7.8817496,7.5520234
212,nm4479087,Daniel Mutugi,\N,\N,transportation_department,tt0387131,11.495426,1.351521
213,nm5398205,Graham Hosty,\N,\N,,\N,9.365452,0.8269868
214,nm10585155,Hugh Mitchell,\N,\N,sound_department,tt0045784,7.95675,0.38637787
215,nm10156365,Efecan Doymaz,\N,\N,actor,tt0845088,9.514749,5.8405194
216,nm8229274,Adam Desiderio,\N,\N,"producer,camera_department,cinematographer","tt6329790,tt0154053,tt13196570,tt13196544",11.072292,1.8337328
217,nm1090995,Simon Pryce,\N,\N,"actor,writer,music_department","tt7925286,tt0459600,tt7005920,tt0115417",7.566669,-0.11719557
218,nm2099917,Isaac Asare,\N,\N,"actor,art_department,location_management","tt1375716,tt1175061,tt0448093,tt1375717",10.636564,3.6245916
219,nm6484963,Thomas Perry,\N,\N,"writer,miscellaneous",tt5645432,9.079571,1.1367271
220,nm5671685,Tony Mansker,\N,\N,actor,tt2578508,10.776244,1.9591167
221,nm13309783,Victoria O'Shea,\N,\N,producer,tt17069040,4.0968723,4.46911
222,nm8390798,Miguel Ontiveros,\N,\N,"camera_department,cinematographer,composer","tt9458150,tt14913264,tt21041490,tt11724150",11.8545475,4.5528574
223,nm10069268,Strahinja Mladenovic,\N,\N,,tt8888294,9.002487,4.9136443
224,nm12149456,Jackson Koeppel,\N,\N,,"tt13613830,tt13688042",8.741986,-0.34092063
225,nm10528767,Jonny Webster,\N,\N,actor,tt9893802,9.985895,1.0246553
226,nm13468179,Mike Greene,\N,\N,producer,\N,9.081688,0.7977764
227,nm10282859,Levi Brook,\N,\N,,\N,10.062686,1.1044581
228,nm0492577,Jennifer Lawn,\N,\N,actress,tt0084707,4.599344,4.8106327
229,nm7247901,Tom Warrington,\N,\N,actor,tt4573490,7.9894185,0.24973354
230,nm4004073,Robert F. Benjamin,\N,\N,"writer,producer",tt1697685,9.972637,1.999842
231,nm14430443,Leon Nielson,\N,\N,set_decorator,tt7533226,11.732012,3.0468109
232,nm8629636,Dominik Loyen,\N,2018,actor,"tt12698974,tt6293570",9.375031,4.663474
233,nm5059431,Neena Sinha,\N,\N,producer,tt2402745,8.529845,6.674507
234,nm6261867,Baltasar González,\N,\N,,tt3185588,12.346454,4.2866626
235,nm14967568,Michael Thomas,\N,\N,,tt15210156,9.282872,2.148277
236,nm13336389,Latifah Dankwa,\N,\N,,\N,8.820581,6.8457537
237,nm9566679,Fred Macharia Maina,\N,\N,,\N,11.172648,4.8503428
238,nm6760911,Ariel Borlongan,\N,\N,,\N,7.907508,5.0165386
239,nm2150648,Megan Serafine,\N,\N,,\N,5.430797,6.0671835
240,nm12580294,Denver Wahwassuck,\N,\N,"miscellaneous,costume_department","tt13623580,tt5537002,tt11317170,tt15783426",7.909286,2.3657877
241,nm8987980,Julian Dawson,\N,\N,,"tt11353994,tt5016484",8.4683895,1.1614249
242,nm13189461,Helena Rago,\N,\N,make_up_department,"tt8390476,tt11399334,tt6032812,tt17595094",6.8221693,5.388134
243,nm4735097,Yogesh Jaani,\N,\N,cinematographer,"tt3666258,tt2091442",8.6671505,7.425949
244,nm10978903,Desiree Winns,\N,\N,writer,tt10943580,9.219363,5.8397837
245,nm6236430,DJ Pocket,\N,\N,,tt3038752,8.116746,-0.13498521
246,nm13523737,Christopher Grills,\N,\N,music_department,tt17338998,10.519501,-0.07544851
247,nm13726068,Hollie Barnes,\N,\N,camera_department,tt20848832,5.868003,3.7372992
248,nm13207977,Ivuelekwa Michael Chiemezie,\N,\N,,\N,8.798648,3.1320527
249,nm2262826,Victoria Grigera,\N,\N,"actress,writer","tt0483759,tt7735496,tt1576406,tt15790768",4.1362944,4.4173117
250,nm11315577,Walkir Campos,\N,\N,"make_up_department,actor","tt11203586,tt6189904",12.047842,4.8030667
251,nm7568831,Jermaine Tipton,\N,\N,"composer,actor","tt5003334,tt5061274,tt5055066",9.991233,0.45564982
252,nm13571551,Angela Lopez,\N,\N,director,tt19634256,6.6683393,5.0343323
253,nm9191436,Vladimir Martí,\N,\N,actor,"tt0448020,tt8309088,tt6390756,tt0114015",9.80781,4.1713758
254,nm5964363,Sadiq Daba,\N,2021,actor,"tt14188284,tt12553430,tt3206616,tt11481312",10.106462,6.724109
255,nm13804377,Christopher Miller,\N,\N,cinematographer,tt21186820,9.359653,-0.4339819
256,nm4862221,Michael Gargiulo,\N,\N,,tt1594381,10.586188,3.6254911
257,nm7349294,Noah Barcio,\N,\N,actor,"tt4426974,tt3967010,tt11125752",10.764891,3.9016855
258,nm12264123,Chris Paul,\N,\N,,"tt0389905,tt1594907",10.6049385,1.1679726
259,nm6520870,Rob Morecraft,\N,\N,"producer,assistant_director,location_management","tt6811018,tt3755154,tt3323026,tt4741720",7.5275154,1.2194302
260,nm5638006,Wendy Lynn Morrow,\N,\N,art_department,tt2336858,5.689387,3.1363552
261,nm14571464,Elisabeth Nygård,\N,\N,actress,tt26749579,6.147266,4.018364
262,nm4316551,Maddison Peck,\N,\N,actress,tt1830401,9.605059,7.144583
263,nm1077169,Denitze Lecaros,\N,\N,actress,"tt0291507,tt7131488,tt4067372",9.928175,5.2960334
264,nm0513453,Piotr Lipiec,\N,\N,"camera_department,actor","tt6874488,tt0096689,tt0400061,tt0114204",10.171599,5.96516
265,nm5011231,Hsiao-Feng Li,\N,\N,producer,tt4674500,7.3916965,7.8334355
266,nm0568044,Wayne McDonald,\N,\N,"miscellaneous,camera_department","tt0088526,tt0270121,tt0058796,tt0075437",8.054978,0.903176
267,nm6617894,Henriette Morawe,\N,\N,actress,"tt5819908,tt2356464,tt3849938,tt9182284",8.47462,4.215899
268,nm4236168,Vince Weigel,\N,\N,actor,tt1795588,7.876693,1.8550614
269,nm6366160,Frank Dennis,\N,\N,actor,tt3603964,10.512446,2.7172794
270,nm7845346,Grace Beedie,1999,\N,actress,"tt9900092,tt16750392,tt7475590,tt13320784",5.9373007,4.6380706
271,nm11286369,Ega,\N,\N,,tt11662666,9.070095,6.624778
272,nm7667227,Amanda Earl,\N,\N,,\N,4.310388,5.4843407
273,nm4430724,Max Caulfield,1915,\N,writer,tt1908819,8.23609,2.014989
274,nm7741898,Grigory Larine,\N,\N,cinematographer,"tt14857854,tt5214274",6.5383835,4.4975963
275,nm14947475,Batuhan,\N,\N,,\N,9.195977,7.219198
276,nm13819846,Don C. Sawyer III,\N,\N,,\N,8.121593,0.570578
277,nm13486156,Sanjeev Rawal,\N,\N,assistant_director,tt16492808,9.817547,7.511294
278,nm13239662,Belbezier,\N,\N,costume_designer,tt0170921,11.395169,2.3701513
279,nm11653825,Mukesh Kumar Bharti,\N,\N,,\N,9.8514,7.844092
280,nm12865555,Hazhir Viper,\N,\N,"writer,producer",tt15270764,9.289647,7.1858864
281,nm0404351,Jeanette Hutchinson,1933,\N,actress,"tt0050058,tt0047706,tt0047728,tt0051265",5.7397137,3.4752812
282,nm13516078,Andre 'Lowdown' Christian,\N,\N,miscellaneous,tt15451642,10.526299,3.8052282
283,nm6604485,Václav Kolár,\N,\N,actor,tt3838256,9.0640545,5.5628047
284,nm10136821,David Vassos,\N,\N,"actor,editor,director","tt9029296,tt10576560",10.087313,2.3612127
285,nm11746991,Pedro Pacifici,\N,\N,actor,tt11131962,11.287299,4.881527
286,nm6232467,Kimberly Smith,\N,\N,,\N,5.3434644,4.796155
287,nm11264328,Chariety Heart Landayan,\N,\N,actress,"tt11582904,tt12051802",8.176592,6.218877
288,nm12511690,Chloe,1999,\N,actress,tt11714358,3.9535468,4.1930943
