,nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,UMAP Component 1,UMAP Component 2
0,nm10524989,Wieslaw Korecki,\N,\N,art_department,tt5527242,8.95085,3.8134084
1,nm5560879,Tsuneyuki Kobayashi,\N,\N,executive,\N,8.478798,7.906031
2,nm11921681,Majid Akbarshahi,\N,\N,producer,tt13147826,10.2147,7.2895665
3,nm0351436,Jürgen Görlitz,\N,\N,actor,"tt0172360,tt0105565",9.600889,3.4383452
4,nm2110067,Enrique Hernandez,1960,\N,actor,"tt5636312,tt0417220,tt0483789,tt8268790",11.719961,4.144009
5,nm4162076,Heather Morse,\N,\N,miscellaneous,"tt14773732,tt10881122,tt1740027",4.860201,3.1620617
6,nm3913167,Gina Loudon,1962,\N,,"tt5075162,tt0344647,tt0411040,tt0890912",5.1819015,4.4669876
7,nm2283306,Kristin Walker,\N,\N,actress,"tt1067094,tt0487400,tt7588784",4.9607067,4.189662
8,nm12453625,David Brown,\N,\N,art_department,tt14359536,10.027082,0.61674625
9,nm10960951,Priyanka,\N,\N,actress,tt9253188,9.485281,6.6864634
10,nm13815896,Rita Cavagna,\N,\N,costume_designer,tt21206652,6.846747,4.7834873
11,nm2635955,Spot,\N,\N,composer,tt1019984,8.153295,3.6165857
12,nm11789610,Ceazry Nowak,\N,\N,actor,tt12833896,9.724091,5.822208
13,nm7945814,Kylie McDonald,\N,\N,editorial_department,tt5479744,5.887783,2.9296951
14,nm4535718,Gabriel W. Huth,\N,\N,actor,"tt1981680,tt2806470",11.416482,4.541272
15,nm11307480,Wolfgang Ritz,\N,\N,,tt1041672,9.502515,3.490744
16,nm12849278,Martine Lavoie,\N,\N,director,tt15238266,9.99852,2.7204235
17,nm1491046,Sarju Patel,\N,\N,"assistant_director,producer,actor","tt2140113,tt0828160,tt2126340,tt1100907",9.550028,8.043738
18,nm4410652,Zohra Zewawi,\N,\N,,\N,8.458794,5.7238426
19,nm12523358,Sanaë Lemoine,\N,\N,,tt13169160,8.412384,5.743096
20,nm10857237,Kaori Koyama,\N,\N,actress,"tt0275230,tt6425696",8.737416,7.651367
21,nm5139037,Flow Kotulla,\N,\N,sound_department,tt2244810,8.537236,7.36857
22,nm7619157,Robert Vandermeer,\N,\N,writer,tt5070472,9.723296,2.5937777
23,nm5604116,Francesco Barozzi,\N,\N,"writer,director,editor","tt3606608,tt8841930,tt4422854,tt2812824",10.819615,4.2483063
24,nm6242770,Juan Carlos Cruz Echevarria,1994,\N,actor,tt3490712,12.145699,4.189031
25,nm10134565,Jesse Swinger,\N,\N,editorial_department,tt4592846,10.374432,-0.48464367
26,nm13892895,Marshieh Johnson,\N,\N,actor,"tt21404010,tt21976530",8.176363,0.015153525
27,nm14202187,Ebrahim Momim,\N,\N,miscellaneous,tt12740760,9.068377,6.8912077
28,nm4686227,Ted Wray,\N,\N,miscellaneous,tt1073664,8.120456,1.4522995
29,nm13285966,Dave Mackean,\N,\N,,tt7534328,8.891738,0.7981174
30,nm2227777,R. Chaudhury,\N,\N,special_effects,tt0316521,9.776075,7.6351304
31,nm4650438,Charmane,\N,\N,,\N,7.0846524,1.6620746
32,nm3218342,Timothy Truschel,\N,\N,actor,tt0165042,7.7955565,1.5296274
33,nm2521311,Francesca M. Mannix,\N,\N,"production_manager,miscellaneous","tt1583421,tt1133985,tt1160419,tt1981128",5.0998764,2.3755312
34,nm10047577,Winfried Degner,\N,\N,,\N,9.547245,2.7300816
35,nm13597092,Chandrasheskhar Sharma,\N,\N,camera_department,tt15465196,9.957165,7.951778
36,nm15079933,Eric Dutka,\N,\N,script_department,tt28483257,10.412126,2.6583824
37,nm10152546,David Genty,\N,\N,miscellaneous,tt9052792,9.899162,1.9744357
38,nm3897483,Zelda Jutila,\N,\N,actress,"tt1641806,tt1641809",8.71694,7.4901166
39,nm8115642,Dayton Phillip,\N,\N,actor,tt0188455,7.1349754,2.7980213
40,nm10554993,Johan Ochoa,\N,\N,actor,"tt1488606,tt27714278",9.737991,2.7996519
41,nm11083706,Alan Berger,\N,\N,script_department,tt11177058,8.704835,2.0773494
42,nm11186541,John Philip Roberts,\N,\N,actor,tt2876438,8.384653,0.7226635
43,nm4654617,Mark Paul Jones,\N,\N,miscellaneous,"tt1992181,tt0190918,tt0325596",7.466071,0.9540234
44,nm6180756,K.C. Cardwell,\N,\N,actor,"tt1055737,tt1806823,tt1238780,tt0462139",8.6616745,0.90827036
45,nm7016919,Brian Storm,\N,\N,"writer,producer,sound_department","tt6532016,tt6211920,tt3857092",10.76426,1.9868567
46,nm2702587,Ger Daalhuisen,\N,\N,actor,tt1057888,9.668162,6.100522
47,nm7711872,The Good Cheer,\N,\N,music_department,tt5175912,7.787008,7.077291
48,nm0575691,Gabriela Medina,1935,\N,actress,"tt0364882,tt0179137,tt2059255,tt1534615",10.6936865,4.9656434
49,nm6771280,Yesim Karaman,\N,\N,actress,tt2402985,9.573371,7.62317
50,nm11202187,Matthew Tangeman,\N,\N,"writer,producer,director","tt18767194,tt27250351,tt15311212,tt20446612",10.455236,1.1284884
51,nm5855996,Mohammed Faroz Fazdi,\N,\N,actor,tt2277932,10.514354,6.8665576
52,nm3258580,Kwai Liang,\N,\N,editor,tt0166028,7.8866034,7.9035516
53,nm2468524,Aaron Parks,\N,\N,"actor,music_department","tt4465564,tt0454848",10.236506,1.9826673
54,nm10451590,James Fortier,\N,\N,cinematographer,tt9723412,10.236291,1.8547857
55,nm10692667,Valentin Oellers,\N,\N,visual_effects,tt10324444,9.991993,4.479613
56,nm3399031,Megan Vermeulen,\N,\N,sound_department,"tt1101048,tt1412728",5.5398746,5.943328
57,nm12713946,Aleksey Bryashev,\N,\N,art_department,tt0159662,8.945446,4.047729
58,nm15012816,Harry Lavigne,\N,\N,actor,tt28291564,10.438432,2.3323112
59,nm10270035,Bailey Cassell,\N,\N,actor,"tt6599482,tt8201142",8.2547455,1.7088008
60,nm3411038,Yesh Oktay,\N,\N,,"tt1493810,tt1417036,tt1509630,tt1498177",8.478509,7.343244
61,nm14545979,Maria Diaz,\N,\N,visual_effects,\N,7.0361204,5.215554
62,nm7918191,Mr. Echo,\N,\N,"actor,composer",\N,9.733246,1.5324471
63,nm14365038,Dhruvi Surti,\N,\N,costume_department,tt24851384,10.039289,6.8605623
64,nm3848136,Arianna Rizzi,\N,\N,actress,tt1493230,6.7640285,4.984228
65,nm3302102,Robin Slick,\N,\N,writer,tt1366654,7.33105,-0.91905767
66,nm14916630,Mark Jackson,\N,\N,actor,tt27925559,8.817814,-0.28431547
67,nm5717951,Lindsay Conn Simon,\N,\N,sound_department,tt2176816,4.6624827,3.5841084
68,nm14513725,J-Gems,\N,\N,"director,writer,cinematographer",tt26493134,8.407997,5.175098
69,nm9986023,Julio Zeledon,\N,\N,camera_department,tt8725486,11.476087,4.1564026
70,nm1658796,Jack Delson,\N,\N,actor,"tt0005972,tt0004362,tt0438631,tt0005826",7.1656284,0.62564194
71,nm1114046,Nadine George,\N,\N,actress,tt0058836,9.169141,4.738387
72,nm14923501,Matej Stöhr,\N,\N,actor,tt22061148,9.046121,4.6781
73,nm3098424,Jeremy Evan Kerr,1978,\N,"casting_director,casting_department,miscellaneous","tt1981677,tt1144884,tt1836944,tt1242715",7.7998934,2.0401506
74,nm10145283,Ethan Phillips,\N,\N,actor,tt9042442,11.501298,1.6659907
75,nm1336313,Tony van Cooten,\N,\N,actor,tt0246134,10.986532,2.4996693
