,nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,t-SNE Component 1,t-SNE Component 2
0,nm9881797,Vera Reysag,\N,\N,actress,tt8502806,29.041405,6.495623
1,nm0247636,Don Eastman,\N,\N,actor,"tt0098878,tt0088903",0.56403637,23.007738
2,nm9788806,Robert Jones,\N,\N,camera_department,tt6209340,-15.886145,26.119495
3,nm0760503,Patricia Samuels,\N,\N,"actress,miscellaneous","tt0088512,tt0103381,tt0086718,tt0166458",-9.647308,-13.608364
4,nm1373202,Gia Mitchell,\N,\N,actress,tt0363579,4.141031,34.60165
5,nm6138507,Volkan Ozsahin,\N,\N,actor,tt3390614,27.436815,12.105687
6,nm2754358,Chris Keys,\N,\N,"location_management,miscellaneous","tt1094295,tt1227787,tt1323043,tt1344337",-43.734016,-18.08227
7,nm14012637,Shunsuke Takeuchi,\N,\N,miscellaneous,tt21941016,-36.777054,7.320362
8,nm5808175,Theron Parker,\N,\N,actor,tt3062390,-13.371475,19.524569
9,nm0320740,Isabelle Girardet,\N,\N,actress,"tt9065600,tt0827768,tt0259289,tt1390405",-14.1156225,-1.87672
10,nm15085054,Dick Narciss,\N,\N,assistant_director,\N,3.6131816,10.107072
11,nm5007375,Craig Schumacher,\N,\N,sound_department,tt0486531,6.1846786,41.136658
12,nm8390590,Tamás Kern,\N,\N,actor,tt6003210,-22.614645,-9.742544
13,nm14692667,Kai Hsu,\N,\N,actor,"tt10850978,tt22754786,tt12768962,tt27503058",26.82721,-2.8492842
14,nm13459805,Zoey Allum,\N,\N,actress,tt14452228,-21.82809,-3.5332456
15,nm6844415,Lilla Bauer,\N,\N,,\N,-22.717474,18.304203
16,nm8657750,Sophia Berlin,\N,\N,"assistant_director,editor,make_up_department","tt6351354,tt9591640,tt11186894,tt10855546",11.536043,-18.016207
17,nm6269149,Joanie Becker,\N,\N,miscellaneous,tt3513520,-34.38434,22.579445
18,nm8144880,Anna-Kaisa Kemppi,\N,\N,"sound_department,music_department","tt13602484,tt18335856,tt16356516,tt6712394",13.387477,-2.9149818
19,nm0328960,Marvin Goodis,\N,\N,actor,tt0129672,29.272245,-14.207557
20,nm1429847,Almir Cassiano,\N,\N,actor,tt0196837,12.790395,0.31569362
21,nm7785504,Virginia Vizente,\N,\N,costume_designer,"tt5108434,tt5357886,tt6148702",-19.856045,41.795727
22,nm5145339,Victor Sousa,\N,\N,actor,tt2252668,-38.391968,0.07960882
23,nm1850590,Julie Ryning,\N,\N,music_department,tt0449640,-14.356301,-3.9844463
24,nm6414769,James Graham,\N,\N,actor,"tt7405940,tt1091909,tt5877212,tt6881870",0.45658255,-24.171465
25,nm4903700,Doug Lyons,\N,\N,"actor,writer",tt6156654,-43.57882,-25.17366
26,nm2945630,Amy Kitson,\N,\N,producer,"tt1196708,tt1537237",-33.10032,33.556095
27,nm13155543,Joscha Wullweber,\N,\N,,tt1305639,-14.330324,-7.7530775
28,nm11522091,Melissa Mullins,\N,\N,,\N,-1.5887333,14.224433
29,nm0016265,Dion Albanese,\N,\N,actor,tt0080117,4.705825,15.111332
30,nm7532444,Kévin Joubay,\N,\N,camera_department,"tt6200578,tt15881998,tt6390162,tt8444556",2.457701,42.42432
31,nm4411896,Kelli McLaughlin,\N,\N,,tt1001469,0.21337482,-13.077264
32,nm2943234,Romano Benvenuti,\N,\N,transportation_department,tt0246677,6.3781195,14.479839
33,nm7659210,Forrest Forte,\N,\N,actor,tt4909328,-7.3103757,24.629957
34,nm0721071,Evelyne Rey,1930,1966,"actress,director","tt0137924,tt0047892,tt0051110,tt0047697",22.859465,-41.46899
35,nm0482680,Raymond Lam,\N,\N,"camera_department,cinematographer,actor","tt1219827,tt0385004,tt1981128,tt0338564",6.7056785,-15.628141
36,nm12054446,Matt Almond,\N,\N,miscellaneous,"tt5969074,tt13675278,tt6417190,tt13524666",-5.3413324,36.486767
37,nm4400145,Katie Longawa,\N,\N,"editor,editorial_department,producer","tt3179402,tt1941630,tt2579312,tt1880174",10.068842,-21.856646
