,nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,completeName,t-SNE Component 1,t-SNE Component 2
7969,nm15033905,,\N,\N,"director,writer,editor",tt28349156,Pranav,-18.5428,85.90193
7970,nm0187739,Jose,\N,\N,actor,tt0111196,Juan Jose Criados,-26.51438,-62.94344
7971,nm1270818,Nelson,\N,\N,,tt0055691,Louis Nelson,7.1657634,-65.2208
7972,nm4287185,Stojiljkovic,\N,\N,actress,"tt2902410,tt1826722,tt2781048",Marija Stojiljkovic,-68.0029,-0.9305856
7973,nm0058997,Bartoletti,\N,\N,actress,tt0099763,Anne Bartoletti,-45.798744,-29.056585
7974,nm6876875,,\N,\N,soundtrack,tt0139803,Nazlyn,-18.5428,85.90193
7975,nm11949064,,\N,\N,producer,tt13209832,Surya,-18.5428,85.90193
7976,nm2113478,Marquez,\N,\N,"actor,camera_department,sound_department","tt1078927,tt0485926,tt1040032",Manny Marquez,-38.214104,-70.46607
7977,nm10302306,Jacobs,\N,\N,"sound_department,editor,producer",tt4015764,Jochem Jacobs,60.673264,-27.138418
7978,nm1736056,Sanchez,\N,\N,miscellaneous,"tt0102125,tt0109607",Loretta Sanchez,-40.126774,-60.021347
7979,nm14167191,Min-woo,\N,\N,miscellaneous,"tt2330866,tt2967578",Lee Min-woo,14.905829,66.7107
7980,nm9788933,Malay,\N,\N,costume_designer,tt8097606,Ren Malay,-2.3051567,56.33017
7981,nm8619335,Manshoori,\N,\N,actor,tt6173054,Shahrokh Manshoori,-10.046419,-11.553734
7982,nm5309919,Sutton,\N,\N,actor,tt2440562,Jonathan Sutton,49.912395,-72.77031
7983,nm0017918,Aleksandrova,\N,\N,actress,tt0277101,Tatyana Aleksandrova,-75.089645,8.716039
7984,nm0275349,Fetterolf,\N,\N,"producer,editorial_department,location_management","tt0118437,tt0270792,tt0118278,tt8906722",Tracy Fetterolf,5.833571,20.04248
7985,nm10371796,Ellis,\N,\N,"producer,director,writer","tt14696768,tt15209506,tt9541486",Phyllis Ellis,28.071072,-85.0039
7986,nm14779467,Blond,\N,\N,sound_department,tt20202422,Max Blond,83.34985,32.940334
7987,nm4552554,Brown,\N,\N,make_up_department,tt2002702,Bernard Brown,85.55662,30.405598
