,nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,completeName,t-SNE Component 1,t-SNE Component 2
0,nm9233990,Liam,\N,\N,art_department,tt7297562,Ryan Liam Murphy,-4.316322,-8.174597
1,nm3299009,Oregon,\N,\N,actor,tt1349859,John Oregon,-80.85942,26.708378
2,nm14070832,Jacó,\N,\N,actor,tt8033694,Marcelo Jacó,69.1952,14.940844
3,nm4193503,Loughlin,\N,\N,producer,"tt0136668,tt27832380,tt2090843",Sean Loughlin,-3.3512447,-19.397697
4,nm15083067,Govindegowda,\N,\N,camera_department,\N,Rakshith Govindegowda,34.805237,-70.81242
5,nm3049226,Michael,\N,\N,"cinematographer,camera_department,editorial_department","tt3879150,tt1403863,tt1503719,tt1344640",J. Michael Owens,-65.23338,50.388275
6,nm0596869,Molineaux,1946,2012,"actress,soundtrack","tt0044580,tt0195619,tt0056751,tt0135651",Cheryl Molineaux,1.1371145,-25.693058
7,nm8698787,Lilja,\N,\N,"visual_effects,producer","tt7447028,tt3810192",Jorgen Lilja,54.076286,-10.018657
8,nm4974050,Bergier,\N,\N,actress,tt2327385,Carolina Bergier,1.5065362,-59.635406
9,nm13894522,Mercurio,\N,\N,cinematographer,"tt21413826,tt21407628",Mark Mercurio,22.581955,40.475708
10,nm8449123,Liu,\N,\N,actress,tt7672188,Jung-Yzu Liu,-2.7439198,-6.2386637
11,nm3202082,Fallon,\N,\N,actor,"tt1977772,tt1977758,tt1326940",Rob Fallon,-52.82476,9.860618
12,nm11760170,S,\N,\N,"composer,actor","tt11713524,tt19766334,tt21254270",Benjamin S Stewart,-3.8642247,71.50408
13,nm1999458,Yokoyama,\N,\N,"animation_department,art_director,art_department","tt0994314,tt0142236,tt0791205,tt1125254",Chigusa Yokoyama,47.472122,25.402317
14,nm0894906,Versari,\N,\N,actress,"tt0118881,tt0106908,tt0087039,tt0082659",Laura Versari,13.974669,31.314383
15,nm6018312,Francisco,\N,\N,actor,tt2359427,Adam Francisco,8.965528,70.72987
16,nm6115533,Iuliani,\N,\N,,tt1774559,Matteo Iuliani,56.097744,-19.019062
17,nm3597470,Kaliarou,\N,\N,miscellaneous,"tt1024159,tt1573178",Vaso Kaliarou,32.829285,-57.71293
18,nm10989506,Polites,\N,\N,,tt8733790,Hannah Polites,6.6967306,7.430133
19,nm9778228,Wright,\N,\N,actor,tt6233618,Gary Wright,-50.015842,-30.169579
20,nm3942446,Eyers,\N,\N,actor,tt1671535,Simon Eyers,-5.2932463,-41.3883
21,nm8519180,Edmonson,\N,\N,actor,tt5073426,Bailey Edmonson,-59.756565,-11.564153
22,nm11055848,Sapusek,\N,\N,"editor,miscellaneous",tt11120142,Shelby Sapusek,37.142616,2.313457
23,nm7894393,Simonato,\N,\N,composer,tt5427386,Stefano Simonato,-14.532599,41.439262
24,nm5625501,Abado,\N,\N,actor,tt2318625,Amir Abado,33.376755,39.36481
25,nm15100384,Quinn,\N,\N,actor,tt14989446,Miranda Quinn,-53.292217,-42.752464
26,nm7338334,Brown,\N,\N,"camera_department,cinematographer","tt5670394,tt4697712,tt2392748,tt5735410",Danon Brown,-61.033566,28.621504
27,nm10329641,,\N,\N,transportation_department,tt1447791,Harlindayatullah,-16.047707,87.88135
28,nm15058649,Quant,\N,\N,actor,\N,Yung Quant,-35.977077,55.060486
29,nm1963935,Tai,\N,\N,actress,"tt0466896,tt0469562,tt0469325,tt0476781",Mai Tai,-25.389809,56.009354
30,nm0486120,Lange,\N,\N,,tt0044298,George Lange,-3.1750124,6.955665
31,nm11633086,McDonald,\N,\N,,tt1191056,Aaron McDonald,-66.03656,-45.810352
32,nm11359259,Taylor,\N,\N,music_department,tt9687172,John Taylor,-89.37584,39.157173
33,nm14958273,Phillips,\N,\N,,\N,Alex Phillips,-79.146355,-10.333583
34,nm2827440,Furnes,\N,\N,actress,tt0494241,Irene Furnes,-18.963758,-47.42838
35,nm4573515,White,\N,\N,miscellaneous,"tt1995346,tt12660520",J.R. White,-53.01367,31.534695
36,nm13843944,Richards,\N,\N,,tt21062540,Brian Richards,-69.220764,-3.4754744
37,nm10193955,Zaragoza,\N,\N,"writer,director","tt13557850,tt12876312",Fer Zaragoza,38.21901,-25.328844
38,nm1489113,Duke,\N,\N,actor,tt0171855,Marc Duke,-19.912777,-23.999302
39,nm2454753,Pagalilauan,\N,\N,actor,tt0903598,Edvin Pagalilauan,54.2447,-23.223408
40,nm3312226,Pablo,\N,\N,actress,tt1289396,Paola Pablo Nogales Doña,49.05906,-21.833286
