,nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,completeName,UMAP Component 1,UMAP Component 2
0,nm5147624,Vouza,\N,\N,"assistant_director,editor,director","tt3188946,tt3101322,tt2340076,tt2167819",Maria Vouza,-3.5856287,-1.3847042
1,nm8265968,Squeegee,\N,\N,actor,"tt5860022,tt11378830",Luigi Squeegee,-1.100891,0.05088461
2,nm13030986,Kita,\N,\N,"composer,music_department","tt8652818,tt3432596,tt12879624,tt6035642",Tomohiro Kita,-1.3009717,0.22278161
3,nm13447821,,\N,\N,actor,\N,Carlos,2.1968,20.278883
4,nm12224568,Barrows,\N,\N,"editor,cinematographer",tt3458612,Brandon Barrows,2.4931345,-3.1282988
5,nm9664188,Tierney,\N,\N,actress,"tt6334596,tt14402542,tt14915084",A.J. Tierney,1.3277692,-4.2108026
6,nm11895603,Rydell,\N,\N,"actor,cinematographer,composer",tt13085350,Felix Rydell,0.76331043,-4.8631496
7,nm13922831,Allegower,\N,\N,actress,tt14675736,Jessica Allegower,-0.14896794,0.14149988
8,nm9593369,Waterson,\N,\N,"sound_department,camera_department","tt11214170,tt7909350,tt9081508",Kenny Waterson,-0.17582119,-0.5832138
9,nm6697471,Moyo,\N,\N,"costume_department,production_designer",tt3951372,Zoe Moyo,1.7993679,2.8157773
10,nm14665237,Amrhein,\N,\N,actor,tt14444726,Felix Amrhein,-3.6920176,0.7567955
11,nm7403363,Huff,\N,\N,"producer,actress,cinematographer",tt3876658,Michi Huff,2.3328624,-1.0589283
12,nm13653448,Feliks,\N,\N,miscellaneous,tt7462410,Novak Feliks,-0.27559158,1.6332085
13,nm3178530,Drobny,\N,\N,miscellaneous,tt0433664,Maciej Drobny,0.7902531,0.3699911
14,nm10559267,Chau,\N,\N,producer,tt10048330,Emily Chau,-1.1707863,0.9567331
15,nm6700344,Hallberg,\N,\N,camera_department,"tt0353130,tt0275880,tt0166916",John Hallberg,-0.9372101,-2.5857823
16,nm3894100,Agboola,\N,\N,actor,tt1648952,Sunday Agboola,-1.3612299,2.4221344
17,nm7251159,Brooke,\N,\N,producer,tt4591850,Charles Brooke,3.4500735,-5.704572
18,nm2339096,Pasten,\N,\N,music_department,tt0824355,D. Pasten,0.07660361,1.0585215
19,nm14323810,Mishey,\N,\N,,\N,Lovely Mishey,0.6902208,-0.00037048524
20,nm4959770,Ramet,\N,\N,,\N,Santiago Ramet,-0.81463224,0.084374115
21,nm10708660,Mizuta,\N,\N,cinematographer,tt10365782,Hiroshi Mizuta,-3.7959921,1.0844129
22,nm5932374,Khan,\N,\N,make_up_department,"tt2917898,tt3173712,tt3206144",Asif Khan,-2.7667756,-4.736414
23,nm13553565,Hetherington,\N,\N,actor,"tt24900296,tt18340124,tt27201235",Oliver Hetherington,1.8731774,0.60376686
24,nm11180696,Coombs,\N,\N,,\N,Georgia Coombs,-4.3367815,-1.4433175
25,nm0649713,Orenstein,\N,\N,"producer,editor,writer","tt0335745,tt0157989,tt0145667,tt0186754",Yaffa Orenstein,-0.2386986,-1.971265
26,nm14831755,Apekampo,\N,\N,make_up_department,tt27692161,Pirrette Apekampo,-2.6720123,0.24991891
27,nm0955396,Zhang,\N,\N,"composer,music_department","tt1735845,tt10168220,tt0354911,tt0270095",Qianyi Zhang,-5.5384607,3.123743
28,nm12360610,A.,\N,\N,actor,tt1270114,David A. Wheelwright,-7.19191,-8.861021
29,nm8449082,Stingl,\N,\N,actor,"tt6075080,tt2119931",Daliah Stingl,0.08425326,-1.4712663
30,nm6811313,Yaremenko,\N,\N,cinematographer,"tt4533366,tt16162312,tt14565442,tt4079494",Andrey Yaremenko,-3.3687267,-1.5001775
31,nm0442630,Kavcic,1923,2007,"director,writer,assistant_director","tt0204588,tt0296250,tt0396114,tt0084837",Jane Kavcic,-3.7832174,-0.3589119
32,nm9484148,Múnera,\N,\N,"director,writer,assistant_director","tt9676024,tt7742276,tt9294882,tt2055813",Sebastián Múnera,-2.3283904,4.1966834
33,nm0492331,Law,\N,\N,actor,"tt0039544,tt0043896",Jack Law,4.1649804,-2.457361
34,nm2187769,Carlos,\N,\N,"art_director,animation_department","tt2699170,tt0774704,tt2113658,tt3157640",Juan Carlos Sánchez,-1.6882951,-7.735028
35,nm12280596,Sebastian,\N,\N,,tt1102520,Jay Sebastian Williams,-1.942497,-7.412268
36,nm10769074,Goetz,\N,\N,art_department,tt9755698,Mark Goetz,-4.355881,-1.8591603
37,nm5444337,Brown,\N,\N,,\N,LeeAnne Brown,18.88235,4.108396
38,nm8533697,Blake,\N,\N,,tt6180972,Anthony Blake,-1.5191563,-4.9010434
39,nm0829441,Stewart,\N,\N,"producer,art_department,executive","tt4727264,tt0122689,tt6069962,tt3754578",Ian Stewart,2.059564,-6.22615
40,nm13258343,Curry,\N,\N,actress,tt16752124,Mimi Curry,-3.33283,-4.9524703
41,nm4801666,Hutz,\N,\N,,tt2130007,David Hutz,-2.33299,-0.28792712
42,nm0001954,Bloom,1931,\N,actress,"tt0057129,tt0044837,tt1504320,tt0082186",Claire Bloom,2.4446788,-0.62438273
43,nm3713499,Kerry,\N,\N,"actress,director,writer","tt8106458,tt0081856",Dayle Kerry,1.6285338,-6.009909
44,nm7497103,Hertzriken,\N,\N,"producer,writer","tt15551300,tt15533134,tt6772306,tt13574490",Lucila Hertzriken,-1.7046058,-1.4878042
45,nm10173538,,\N,\N,"actor,music_department",tt9089268,Sibitt,2.1417887,20.225292
46,nm13732906,Tassone,\N,\N,,\N,Nicholas Tassone,-1.2468358,-2.065353
47,nm0466423,Kornbluh,\N,\N,"miscellaneous,writer","tt0906046,tt2566340,tt2634236,tt8466694",Peter Kornbluh,-3.3672018,-0.9408355
48,nm11400947,Lin,\N,\N,,"tt6127082,tt25993150",Sean Lin,0.6534297,-1.6282358
49,nm9536566,Brown,\N,\N,actor,tt7849282,Stephan Brown,18.881783,4.108226
50,nm6563366,Moriamé,\N,\N,production_manager,tt3798288,Patrick Moriamé,-0.048109718,0.723259
51,nm5957876,Aziz,\N,\N,,"tt2843442,tt4328526,tt0163471,tt8615400",Tipu Aziz,-2.4431617,-4.2485933
52,nm4399381,Majkus,1958,\N,actor,"tt7341988,tt1833295,tt3450368,tt4077548",Pavel Majkus,-2.3824694,0.3308233
53,nm2763638,Wijaya,\N,\N,"sound_department,producer","tt1094166,tt1365581,tt1503787",Steven Wijaya,-2.859428,0.44068167
54,nm9635538,Cope,\N,\N,editor,tt27801017,Camryn Cope,-4.7755604,-2.4955673
55,nm9296009,Cooper,\N,\N,"actor,writer,camera_department","tt8104194,tt8104118,tt9067856,tt8106140",Daniel Cooper,1.3498458,-10.493221
56,nm13362033,Trejo,\N,\N,,\N,Jessica Trejo,-0.82650626,2.575595
57,nm6014103,Lewer,\N,\N,costume_designer,tt3700542,Emma Lewer,-0.03855793,-1.125101
58,nm13248626,Bendaraviciene,\N,\N,,tt16682696,Lina Bendaraviciene,-1.6705265,0.26119852
59,nm1995974,Coca,\N,\N,writer,"tt10048028,tt0375401,tt26455895,tt0470636",Jordi Coca,16.91723,-3.6593697
60,nm1600828,Nielsson,\N,\N,"director,writer,sound_department","tt1641626,tt4143306,tt13648222,tt1858593",Camilla Nielsson,-3.024658,0.8539413
61,nm5666867,Hylton,\N,\N,actress,tt2906776,Mara Hylton,1.6641992,0.5240344
62,nm2254594,Matei,\N,\N,"assistant_director,script_department,miscellaneous","tt0130178,tt0072620,tt0173704,tt0082385",Laura Matei,-1.3448838,0.397278
63,nm5778321,Martínez,\N,\N,,tt1525594,Belén Martínez,-2.1758425,-8.626642
64,nm3689049,Jean,\N,\N,stunts,tt1199099,Franck Jean Guillaume,-0.41956672,-3.5377538
65,nm10073775,,\N,\N,,tt8805450,Asihati,2.09731,20.173468
66,nm2625315,Wallin,\N,\N,actor,tt0173387,Christian Wallin,0.4820209,-0.8670346
67,nm4591524,Duos,\N,\N,soundtrack,tt0423776,The Duos,0.5324564,2.5419924
68,nm5130042,Burke,\N,\N,,tt0409579,Thomas Burke,1.7475046,-3.3710709
69,nm3993027,María,\N,\N,miscellaneous,"tt1408430,tt6014022,tt2700330,tt7296380",Luz María Escobar,-8.143081,2.459167
70,nm7679061,Berthoud,\N,\N,actress,tt1093078,Marinella Berthoud,-0.38266635,0.6889031
71,nm8432230,Bessi,\N,\N,production_designer,"tt12153836,tt6021384",Barbara Bessi,-3.8902457,0.5216195
72,nm12662788,Ardoin,\N,\N,,tt10952558,Nanette Ardoin,-2.1706934,1.6904795
73,nm10748454,Militsopoulos,\N,\N,,tt8306696,Dimitris Militsopoulos,-2.4738944,-1.6194469
74,nm14536926,Lind,\N,\N,,tt1610259,Cecilia Lind,0.5957462,-1.6025913
75,nm1888155,Boone,\N,\N,actor,tt0383760,Jericho Boone,2.6902816,-3.046145
76,nm1175735,Issovits,1977,\N,actor,"tt1640216,tt0263503",István Issovits,-2.9152284,-1.5241994
77,nm7067170,Kemppainen,\N,\N,,tt4374536,Doug Kemppainen,-0.45517424,-1.8363463
78,nm10705211,Velázquez,\N,\N,sound_department,tt10358874,Miguel Velázquez,-3.377881,-2.767948
79,nm13513027,,\N,\N,actor,"tt19178738,tt18989494",ThisIsChris9,2.1072698,20.20025
80,nm14933273,James,\N,\N,actor,\N,Austin James Kettelhut,-3.6504116,8.583454
81,nm10881743,Hirose,\N,\N,assistant_director,tt7896952,Kiyoshi Hirose,1.0099561,0.8811448
82,nm3898354,Agolli,\N,\N,miscellaneous,tt1504508,Korab Agolli,1.5840477,0.24288365
83,nm3799140,Kalima,\N,\N,actor,tt1598635,Felix Kalima,-2.865701,0.040450864
84,nm9927520,Nelson,\N,\N,"actor,writer",tt8599694,Drew Nelson,-9.115246,-8.525224
85,nm7399985,Harris,\N,\N,actress,tt2352722,Mayia Harris,0.38545513,-8.35911
86,nm5170201,Rozario,\N,\N,miscellaneous,tt1535612,Peter Rozario,-3.37092,0.2023908
87,nm0184004,Courval,1942,\N,"actress,writer","tt0072307,tt0092588,tt0279578,tt0238330",Nathalie Courval,-4.368694,-1.4456794
88,nm3690084,Steinhoff,1977,\N,"producer,director,writer","tt2023742,tt18250444,tt3645208,tt18110702",Alexander Steinhoff,-1.2214959,-2.4419382
89,nm1185909,Pabst,\N,\N,production_manager,"tt0320143,tt1099990",Frank Pabst,-1.629892,-0.3528283
90,nm10933757,Dodson,\N,\N,camera_department,tt8545328,Lee Dodson,-0.011287301,-1.8503274
91,nm2808600,Taylor,\N,\N,actress,"tt0088580,tt0875149,tt1587000,tt5226698",Jane Taylor,10.341421,11.911123
92,nm10962584,Zecchin,\N,\N,sound_department,tt10918722,Guilherme Zecchin,-4.3378,0.6672396
93,nm0674084,Perkins,1857,1925,actor,"tt0011563,tt0186319,tt0008852,tt0008756",Walter Perkins,0.86237967,-4.552253
94,nm9481143,Olsson,\N,\N,editor,"tt5930882,tt8333696,tt14689828",Hanna Olsson,-1.2038876,-2.3220422
95,nm8001123,Wagner,\N,\N,sound_department,tt3715438,Jonathan Wagner,-1.0969902,-2.6783535
96,nm0296280,Frolick,\N,\N,actor,tt0210628,Michael Frolick,0.47251448,2.4035378
97,nm8937490,Akinmurele,\N,\N,"writer,camera_department,sound_department","tt6804078,tt7235956,tt10364214",Lumi Akinmurele,-2.2014503,0.97946477
98,nm1194161,Connolly,\N,\N,actress,"tt1988386,tt0108709,tt1566940,tt0323832",Olivia Connolly,0.6498918,-5.363385
99,nm0448217,Kennedy,\N,\N,actress,tt0040479,Mattie Kennedy,1.5329373,-6.0874734
100,nm3290709,H.,\N,\N,actor,"tt1356951,tt1804897",John H. Seitz,-5.3418927,1.9627352
101,nm3107503,Holm,\N,\N,actor,tt1279945,Joel Holm,3.5989766,-3.3611019
102,nm10210554,Cohan,\N,\N,soundtrack,tt8559562,Bob Cohan,-4.3384566,-1.4456049
103,nm12616739,Jenosky,\N,\N,producer,tt14724276,Jacqueline Jenosky,0.55107796,-3.5723643
104,nm5799309,Jones,\N,\N,"miscellaneous,actor","tt2261391,tt8303474,tt3320276,tt1617661",Wes Jones,16.365608,-12.465203
105,nm11916749,Karim,\N,\N,producer,tt13136756,James Karim Walker,-3.9652731,-8.134194
106,nm7554052,Daughtery,\N,\N,,tt2402569,Jeremy Daughtery,1.0429654,-0.014485262
107,nm5313510,Caponigro,\N,\N,miscellaneous,tt2443204,Don Caponigro,-1.2862728,1.7596025
108,nm6748512,van,\N,\N,"actress,make_up_department","tt13674472,tt8435362,tt5815286,tt6550372",Samantha van Tetering,-13.558663,5.40406
109,nm14991872,Göpfert,\N,\N,producer,"tt21097902,tt22015782,tt21087522,tt22336786",Anna Göpfert,-4.623341,-1.9103261
110,nm3208051,McGee,\N,\N,,tt1329170,Pam McGee,4.140261,-4.0607347
111,nm8629077,Rey,\N,\N,,\N,Erica Rey,3.865095,-5.3104606
112,nm0375682,Helmer,\N,\N,actress,"tt0058897,tt1258242,tt0430244,tt1587142",Gertrude Helmer,-0.08699918,-1.4814811
113,nm13787435,Cheehan,\N,\N,"miscellaneous,producer","tt19396042,tt18379384,tt16240286",Faith Cheehan,-1.1038744,0.6031335
114,nm13098262,Liang,\N,\N,writer,"tt15867078,tt15867178",Li Liang,-5.4855886,3.313956
115,nm13328434,de,\N,\N,,tt8925242,Nick de Bois,1.3682458,10.935802
116,nm1794380,Baadila,1979,\N,actor,"tt1930391,tt13729220,tt6503672,tt2773732",Fauzi Baadila,-2.5125115,-2.1659362
117,nm8073753,Keiji,\N,\N,actor,tt4161358,Mr. Keiji,-3.165476,0.06554547
118,nm14960375,Trotman,\N,\N,editor,"tt11958610,tt11116780",Adam Trotman,-0.8004949,2.5319347
119,nm13469350,Roberts,\N,\N,,\N,Jade Roberts,4.697851,-6.255192
