,nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,completeName,UMAP Component 1,UMAP Component 2
0,nm9233990,Liam,\N,\N,art_department,tt7297562,Ryan Liam Murphy,9.364319,6.554148
1,nm3299009,Oregon,\N,\N,actor,tt1349859,John Oregon,9.056349,-3.4271455
2,nm14070832,Jacó,\N,\N,actor,tt8033694,Marcelo Jacó,10.700789,8.693762
3,nm4193503,Loughlin,\N,\N,producer,"tt0136668,tt27832380,tt2090843",Sean Loughlin,8.851613,6.5351343
4,nm15083067,Govindegowda,\N,\N,camera_department,\N,Rakshith Govindegowda,14.913574,8.556364
5,nm3049226,Michael,\N,\N,"cinematographer,camera_department,editorial_department","tt3879150,tt1403863,tt1503719,tt1344640",J. Michael Owens,9.883483,-3.5644336
6,nm0596869,Molineaux,1946,2012,"actress,soundtrack","tt0044580,tt0195619,tt0056751,tt0135651",Cheryl Molineaux,13.988912,9.677513
7,nm8698787,Lilja,\N,\N,"visual_effects,producer","tt7447028,tt3810192",Jorgen Lilja,13.031642,8.428711
8,nm4974050,Bergier,\N,\N,actress,tt2327385,Carolina Bergier,8.06251,7.290636
9,nm13894522,Mercurio,\N,\N,cinematographer,"tt21413826,tt21407628",Mark Mercurio,11.073949,8.46408
10,nm8449123,Liu,\N,\N,actress,tt7672188,Jung-Yzu Liu,14.0703745,3.4408605
11,nm3202082,Fallon,\N,\N,actor,"tt1977772,tt1977758,tt1326940",Rob Fallon,10.353792,5.3515735
12,nm11760170,S,\N,\N,"composer,actor","tt11713524,tt19766334,tt21254270",Benjamin S Stewart,17.803093,6.6387935
13,nm1999458,Yokoyama,\N,\N,"animation_department,art_director,art_department","tt0994314,tt0142236,tt0791205,tt1125254",Chigusa Yokoyama,14.871213,5.1156883
14,nm0894906,Versari,\N,\N,actress,"tt0118881,tt0106908,tt0087039,tt0082659",Laura Versari,10.951953,7.8764267
15,nm6018312,Francisco,\N,\N,actor,tt2359427,Adam Francisco,7.663977,9.621539
16,nm6115533,Iuliani,\N,\N,,tt1774559,Matteo Iuliani,13.017133,8.995562
17,nm3597470,Kaliarou,\N,\N,miscellaneous,"tt1024159,tt1573178",Vaso Kaliarou,13.621828,6.5644727
18,nm10989506,Polites,\N,\N,,tt8733790,Hannah Polites,12.177823,7.171052
19,nm9778228,Wright,\N,\N,actor,tt6233618,Gary Wright,13.138081,2.449781
20,nm3942446,Eyers,\N,\N,actor,tt1671535,Simon Eyers,12.442736,7.4276743
21,nm8519180,Edmonson,\N,\N,actor,tt5073426,Bailey Edmonson,18.890337,7.554748
22,nm11055848,Sapusek,\N,\N,"editor,miscellaneous",tt11120142,Shelby Sapusek,14.518658,7.856331
23,nm7894393,Simonato,\N,\N,composer,tt5427386,Stefano Simonato,10.952066,6.9477477
24,nm5625501,Abado,\N,\N,actor,tt2318625,Amir Abado,13.22355,6.367537
25,nm15100384,Quinn,\N,\N,actor,tt14989446,Miranda Quinn,8.342098,5.9732285
26,nm7338334,Brown,\N,\N,"camera_department,cinematographer","tt5670394,tt4697712,tt2392748,tt5735410",Danon Brown,11.815631,-3.5492835
27,nm10329641,,\N,\N,transportation_department,tt1447791,Harlindayatullah,-11.32134,12.453066
28,nm15058649,Quant,\N,\N,actor,\N,Yung Quant,9.768004,-2.329692
29,nm1963935,Tai,\N,\N,actress,"tt0466896,tt0469562,tt0469325,tt0476781",Mai Tai,9.478582,-1.736228
30,nm0486120,Lange,\N,\N,,tt0044298,George Lange,10.398462,6.3957825
31,nm11633086,McDonald,\N,\N,,tt1191056,Aaron McDonald,4.567912,8.187007
32,nm11359259,Taylor,\N,\N,music_department,tt9687172,John Taylor,13.565713,-12.838923
33,nm14958273,Phillips,\N,\N,,\N,Alex Phillips,3.3945923,-10.357978
34,nm2827440,Furnes,\N,\N,actress,tt0494241,Irene Furnes,12.304038,11.116091
35,nm4573515,White,\N,\N,miscellaneous,"tt1995346,tt12660520",J.R. White,10.71896,-2.4562633
36,nm13843944,Richards,\N,\N,,tt21062540,Brian Richards,18.089321,12.813072
37,nm10193955,Zaragoza,\N,\N,"writer,director","tt13557850,tt12876312",Fer Zaragoza,12.620598,8.045314
38,nm1489113,Duke,\N,\N,actor,tt0171855,Marc Duke,8.970486,5.59087
39,nm2454753,Pagalilauan,\N,\N,actor,tt0903598,Edvin Pagalilauan,11.576561,9.66961
40,nm3312226,Pablo,\N,\N,actress,tt1289396,Paola Pablo Nogales Doña,11.952486,9.850179
41,nm14824578,Fernandez,\N,\N,producer,tt22014400,Carlos Fernandez,12.245976,11.0618515
42,nm11063953,Schacht,\N,\N,,tt10087626,Robin Schacht,11.161678,3.5985599
43,nm3956741,Melvin,\N,\N,actor,tt1671514,Oy Melvin,10.679354,6.6430664
44,nm4941529,Kortemeyer,\N,\N,,"tt6988884,tt2292915",Blaine Kortemeyer,13.440676,6.0606375
45,nm7941018,Jolivet,\N,\N,sound_department,tt5479592,Vincent Jolivet,13.241628,7.217732
46,nm1698660,Bitsue,\N,\N,actor,tt0421736,Charlie Bitsue,8.051952,7.5793805
47,nm6549868,Lindström,\N,\N,actress,tt0471062,Jessica Lindström,12.414446,5.325864
48,nm4165948,Mayer,\N,\N,,tt1764529,Mathew Mayer,13.902527,9.669364
49,nm3678614,Sabino,\N,\N,"miscellaneous,producer,production_manager","tt9312830,tt1542378,tt3101632,tt11153132",Jorge Sabino,10.92004,7.0788617
50,nm2546460,Strauss,\N,\N,actor,tt0800044,Josh Strauss,11.071163,4.0765443
51,nm9140153,Aaron,\N,\N,miscellaneous,tt4827290,Jenay Aaron,9.764345,-3.2250605
52,nm6270972,Talbot,\N,\N,actor,tt3181920,Paul Talbot,11.064677,6.350046
53,nm12627807,Kitkowski,\N,\N,"actor,set_decorator,transportation_department","tt14766454,tt22073786",Ryszard Kitkowski,11.348262,5.752759
54,nm10982340,Sari,\N,\N,actor,"tt2735484,tt10940890",Onder Sari,15.059481,7.326707
55,nm6925546,Kiriac,\N,\N,actor,"tt13755134,tt7784236,tt0460664,tt0806910",Jon Kiriac,13.394172,6.0433364
56,nm2206289,Hertzog,\N,\N,"art_director,production_designer","tt2120072,tt0783728",Ben Hertzog,12.292902,4.002851
57,nm6304031,Hull,\N,\N,"director,writer,camera_department",tt3548026,Hannah Hull,12.649491,4.510831
58,nm8131239,Thoma,\N,\N,actress,tt5707442,Ilvy Thoma,15.274195,6.3396325
59,nm0471008,Kretz,\N,\N,actress,tt0050585,Maria Kretz,13.015629,5.860492
60,nm8981121,Harris,\N,\N,actor,tt0929799,Richard Harris,11.516528,-6.276892
61,nm2647381,Gola,\N,\N,actor,tt0478175,Patryk Gola,10.205709,7.678849
62,nm0402527,Hunt,\N,\N,,\N,Lance Hunt,11.230965,-3.4179401
63,nm2102474,,\N,\N,composer,tt0488323,Balimurphy,-11.39799,12.523428
64,nm3380140,Curte,\N,\N,transportation_department,tt0480251,Reginald Curte,9.135345,4.358457
65,nm2444528,Benchlikha,\N,\N,actor,"tt0891320,tt4382824",Mohamed Benchlikha,13.070401,8.437433
66,nm11621134,Shinozaki,\N,\N,music_department,"tt9081300,tt14866060,tt13622982",Yuuki Shinozaki,14.808529,5.330012
67,nm0445919,Hoyt,\N,\N,actor,"tt0078638,tt0090481,tt0096483,tt1756857",James Hoyt Kelley,12.25521,4.2016606
68,nm2403374,Burrekoven,\N,\N,"art_department,actor","tt0125644,tt0088517,tt1054580,tt0119389",Dirk Burrekoven,10.36908,4.4068055
69,nm10020270,Coelho,\N,\N,actress,"tt14830832,tt7106084,tt8595452,tt11017812",Hannah Coelho,8.608174,8.646588
70,nm7839492,Garner,\N,\N,,tt0123338,Cassandra Garner,10.50083,6.7874537
71,nm11836520,Stevens,\N,\N,actor,"tt12850216,tt14900738",Andrew Stevens Purdy,9.680281,4.488118
72,nm3613838,C.,\N,\N,"actor,director,writer","tt11585506,tt1510785,tt1703807,tt7808746",Sean C. Dwyer,-4.0925703,-3.8030071
73,nm11034960,Saleh,\N,\N,actor,tt0808903,Anthony Saleh,14.505379,7.531621
74,nm3897669,Heijke,\N,\N,"actor,cinematographer",\N,Marijn Heijke,12.281278,4.3095517
75,nm6640990,Bruguera,\N,\N,actor,tt0167625,José Bruguera,8.520599,7.6962953
76,nm12547577,Iquioussen,\N,\N,,tt1215594,Soufiane Iquioussen,13.98028,6.1594243
77,nm0867816,Toral,\N,\N,miscellaneous,tt0119567,Sergio Toral,12.491844,6.2223945
78,nm12696791,Folmer,\N,\N,actress,tt14195824,Becca Folmer,12.351158,11.029962
79,nm11010510,Dowdy,\N,\N,actor,tt0411933,Joseph Dowdy,8.651123,5.4782786
80,nm6373930,Gutteridge,\N,\N,cinematographer,tt3612444,Dennis Gutteridge,10.078187,7.5427666
81,nm11023145,Londin,\N,\N,actor,tt0414405,Richard Londin,9.394174,7.0518203
82,nm11809763,Mansuri,\N,\N,"director,animation_department","tt12881188,tt10469048",Aspak Mansuri,14.047483,9.247635
83,nm8835655,Botha,\N,\N,actress,tt6616012,Melanie Botha,12.175496,5.790287
84,nm4813275,G.,\N,\N,,tt0182553,Buffalo G.,-1.3167892,-4.1421423
85,nm10157534,Schutte,\N,\N,"music_department,composer,soundtrack","tt22491458,tt8456190,tt7320482,tt13969640",Elben Schutte,11.241459,3.4673567
86,nm10574501,Vincent,\N,\N,actor,tt10084094,Alex Vincent,11.73573,8.702975
87,nm0425907,Johnson,1933,2017,"writer,actress","tt0058756,tt0073705",Nora Johnson,-5.6152496,6.4503736
88,nm11398656,Bridgers,\N,\N,actress,tt11902980,Meghan Bridgers,7.9897413,7.067195
89,nm5782993,Campbell,\N,\N,actor,tt3013214,Steve Campbell,18.326605,4.1733646
90,nm0293961,Freixedo,1923,2019,miscellaneous,tt0268459,Salvador Freixedo,11.046569,6.590304
91,nm2129512,Mehta,1925,2009,,\N,Tyeb Mehta,15.680995,7.1013417
92,nm10817802,Melo,\N,\N,,\N,Sônia Melo,10.799508,6.625231
93,nm13308284,Camilo,\N,\N,actress,tt17065440,Scarlet Camilo,10.580522,8.582357
94,nm0067797,Belfrage,\N,\N,miscellaneous,tt0112637,Tor Belfrage,7.9259434,7.0880327
95,nm6135213,Magbuhat,\N,\N,miscellaneous,tt3386404,Lala Magbuhat,11.233563,7.521573
96,nm7850288,Jardine,\N,\N,visual_effects,"tt5122514,tt0837563,tt3612274,tt5574166",Jordan Jardine,9.991868,7.546742
97,nm0803148,Sistiaga,\N,\N,cinematographer,"tt4959470,tt0118817",Gorka Sistiaga,11.071896,9.807102
98,nm13095528,Hart,\N,\N,actor,tt15944522,Chris Hart,11.037531,-3.0822792
99,nm7559056,Tucker,\N,\N,"actor,producer","tt4986808,tt4986928",Ryan Tucker,12.53321,6.0359516
100,nm9360936,Sussman,\N,\N,"actor,sound_department,art_department","tt22497552,tt7538468",Alex Sussman,14.447856,8.024917
101,nm3483792,Stuntmen,\N,\N,"actor,stunts,miscellaneous","tt0383438,tt0435795,tt0499033,tt5084496",Stallion Stuntmen,10.435781,3.7346876
102,nm13202040,Lewis,\N,\N,,\N,Alaina Lewis,10.307902,-5.254996
103,nm9587009,Rutta,\N,\N,actor,tt7932670,Marvin Rutta,12.43021,8.685433
104,nm0312814,Genevoix,1944,2012,"producer,actress","tt0353063,tt0073619,tt0099563,tt0099635",Sylvie Genevoix,10.495544,7.139818
105,nm6633602,Barnett,\N,\N,actor,tt3866374,Finn Barnett,9.7429085,4.2569666
106,nm12816612,Bisht,\N,\N,,\N,Sagar Bisht,8.13305,7.3727126
107,nm6548544,Griffin,\N,\N,actress,"tt4959890,tt4392068,tt4769918,tt4596518",Marusia Griffin Lynn,9.111589,8.5349
108,nm1843727,Leach,\N,\N,actor,tt0133301,John Leach,10.103134,6.632478
109,nm11043313,Tower,\N,\N,actor,tt3394674,Kyle Tower,12.61526,6.116298
110,nm5459616,Tumasova,\N,\N,,\N,Viktoria Tumasova,13.556399,7.5748177
111,nm10902934,Semkiw,\N,\N,,tt10783828,Jurij Semkiw,12.422764,6.854591
112,nm5523273,Luque,\N,\N,,\N,Jaime Luque,10.714311,8.6926985
113,nm4616644,Chen,\N,\N,casting_department,tt1071812,Zi Chen 'Miao Miao' Tang,9.045,9.77015
114,nm5444818,Medvesek,\N,\N,art_department,"tt0077255,tt1181455",Tomislav Medvesek,11.417109,7.967839
115,nm4829109,Oinuma,\N,\N,producer,tt2154731,Takayuki Oinuma,14.685056,5.3629565
116,nm11384645,Jamieson,\N,\N,miscellaneous,tt11045566,Nicole Jamieson,10.004638,5.241384
117,nm12460149,Jiekai,\N,\N,,tt6095264,Xiu Jiekai,14.532191,6.447484
118,nm11931144,Rarakos,\N,\N,,\N,Georgios-Theodoros Rarakos,12.506446,8.485818
119,nm1956294,Taylor,\N,\N,actress,tt0464703,Joan Taylor,13.56577,-12.839134
120,nm13962090,,\N,\N,actor,\N,Rana,-11.36477,12.491636
121,nm9771731,Roe,\N,\N,"director,actor,writer",tt2048745,Matt Roe,12.376236,8.656773
122,nm5857545,Gaethje,1988,\N,actor,"tt17517432,tt3137940,tt11864802,tt27716694",Justin Gaethje,12.872036,8.094696
123,nm4817101,Viskari,\N,\N,"art_department,make_up_department",tt1841745,Heidi Viskari,11.848548,8.75656
124,nm13220463,de,\N,\N,,\N,Equipe de Enfermagem,4.754763,25.102633
125,nm10843504,Andersen,\N,\N,"actor,director,writer","tt15275852,tt10767140,tt15275826,tt15275798",Samantha Andersen,11.8512745,7.4107003
126,nm3424731,Niemyjska,\N,\N,actress,tt0426154,Maria Niemyjska,14.995294,8.710802
127,nm11815480,Larche,\N,\N,"director,writer,editor",tt12893514,Zach Larche,9.312368,7.129785
128,nm4046914,Manahan,\N,\N,miscellaneous,"tt1056433,tt2239866,tt2118570,tt2063008",Andie Manahan,11.211353,5.8804193
129,nm4734967,Nugent,\N,\N,"director,writer,cinematographer",tt2091279,Jonathan Nugent,15.317888,5.7985363
130,nm8660085,Gibbs,\N,\N,,tt6353818,Debbie Gibbs,9.757868,7.5338116
131,nm1250126,O'Connell,\N,\N,"miscellaneous,art_director","tt0447732,tt0491229,tt0981208,tt0417301",Bea O'Connell,7.0607824,-9.043357
132,nm0765831,Sasaki,1941,\N,actor,"tt0078435,tt0073756,tt0070085,tt0199680",Shunji Sasaki,14.346746,5.545716
133,nm0084310,Bissell,1913,1977,writer,"tt0047780,tt0050814",Richard Bissell,7.9133143,7.4159236
134,nm13611341,Donnelly,\N,\N,miscellaneous,"tt0906840,tt16152056",Thomas Donnelly,9.564835,5.7201605
135,nm13862640,,\N,\N,actress,tt15237162,Dhanuja,-11.391768,12.526671
136,nm11319508,Fakhreddine,\N,\N,actor,tt8267604,Ahmad Fakhreddine,12.313811,10.828123
137,nm15115260,Cabrerra,\N,\N,casting_department,tt0386088,Glen Cabrerra,9.961519,9.485074
138,nm13636201,Phillips,\N,\N,,\N,John Phillips,3.394389,-10.359987
139,nm4824227,Ross,\N,\N,"location_management,miscellaneous,production_manager","tt0439572,tt6433880,tt2763304,tt6679794",Andy Ross,10.411869,-4.507258
140,nm0768445,Sayer,1912,1999,actress,"tt0019662,tt3884822",Hilda Sayer,14.49118,7.879317
