,nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,completeName,UMAP Component 1,UMAP Component 2
0,nm2980671,Ehrenberg,1979,\N,"writer,director,assistant_director","tt0949401,tt2874566,tt1422019,tt0806910",Karlotta Ehrenberg,5.141842,5.3726172
1,nm3850300,James,\N,\N,"costume_department,costume_designer",tt1623172,Sara James,4.6768274,-3.7140057
2,nm0309567,Gates,1889,1948,"writer,script_department","tt0019813,tt0024366,tt0027628,tt0031715",Harvey Gates,8.293956,-4.761534
3,nm13116115,Birch,\N,\N,actor,\N,Logan Birch,8.473482,4.5627337
4,nm14024913,Lichtenstein,\N,\N,actor,tt22004888,Jörg Lichtenstein,5.1379075,5.363623
5,nm10320279,McGill,\N,\N,writer,tt9423914,Lyndon McGill,7.1469417,1.6041304
6,nm11678392,,\N,\N,actress,"tt12561020,tt16538410",Taif,-1.7058802,24.101118
7,nm8228368,Katzer,1973,\N,,"tt0799583,tt0759034,tt11416260,tt14857030",Catarina Katzer,5.3066635,5.76377
8,nm6620780,Reinagel,\N,\N,actor,tt1699147,Joe Reinagel,7.155458,6.2027316
9,nm0118306,Bucich,\N,\N,producer,tt0267490,Juan Bucich,6.803129,5.9797316
10,nm4901328,Russell,\N,\N,actor,tt2242973,Woody Russell,5.8653507,-1.928333
11,nm8654204,Vwambanji,\N,\N,camera_department,tt4667754,Musyani Vwambanji,6.096781,9.077464
12,nm14324313,Machado,\N,\N,miscellaneous,\N,Vanice Machado,9.318248,8.0548
13,nm14649037,Bondoc,\N,\N,transportation_department,\N,Nelvin Bondoc,9.042864,7.6133595
14,nm12730667,Donovan,\N,\N,actor,\N,Michael Donovan,10.787143,-2.5109348
15,nm1987305,McGregor,1936,1990,composer,tt0151243,Chris McGregor,1.3001416,-0.6610951
16,nm14058034,Itthagarun,\N,\N,editor,tt22098382,Arnusitt Itthagarun,5.9936604,8.528964
17,nm1151497,Usher,\N,\N,cinematographer,tt0306452,Dennis Usher,9.626783,2.8272948
18,nm1995135,Marcos,\N,\N,producer,tt0337009,Nacho Marcos,8.652281,-1.8421998
19,nm11120794,Misita,\N,\N,actor,tt11258382,Borivoje Misita,5.474136,9.108449
20,nm3248123,Blair,\N,\N,"actress,casting_department","tt5244636,tt1995474,tt8593252,tt8110640",Trisha Blair,7.8873143,0.8607
21,nm1298941,de,1926,1993,"composer,cinematographer,soundtrack","tt0377177,tt0052246,tt0346610,tt0347049",Wolfgang de Gelmini,15.966854,6.1212344
22,nm12486752,Saif,\N,\N,actor,tt2783416,Hani Saif,5.2285395,8.884571
23,nm12346612,López,\N,\N,,\N,Jaime López,-2.1706598,6.270861
24,nm8783227,Pereira,\N,\N,actor,tt5149108,Richard Pereira,12.122643,7.439229
25,nm6203901,Anrig,\N,\N,,\N,Melissa Anrig,11.675689,6.0537634
26,nm6925403,Stone,\N,\N,actress,"tt5883952,tt5864030,tt8713922,tt7523066",Julia Stone,-2.6684136,-0.85591114
27,nm3614471,Labastida,\N,\N,art_department,tt0344499,Joselito Labastida,9.311151,6.3005257
28,nm5471758,Hebler,\N,\N,actor,tt2573818,Alex Hebler,4.9639893,6.4534607
29,nm5261392,Frett,\N,\N,"actor,production_manager","tt2386260,tt4317850,tt16610728",Anne Frett,7.582862,5.2173057
30,nm3398710,DeLuca,\N,\N,,\N,Cristina DeLuca,9.618679,6.7002416
31,nm4153218,,\N,\N,,\N,Popîzu,-1.8134553,23.766891
32,nm8548019,Monteiro,\N,\N,camera_department,"tt0085098,tt0498441",Fernando Monteiro,8.664206,7.4437137
33,nm14804618,Pettingill,\N,\N,camera_department,tt26687196,Ben Pettingill,7.404867,4.3636456
34,nm13726053,Krol,\N,\N,executive,\N,Nicole Krol,5.5159054,8.100386
35,nm9745821,Polat,\N,\N,make_up_department,"tt12562262,tt5775012,tt7298590,tt7535900",Sibel Polat,7.8941727,9.034726
36,nm1374012,Stone,\N,\N,actor,tt0353917,Phil Stone,-2.6691263,-0.8626951
37,nm4970071,Maue,\N,\N,,\N,Hendrick Maue,6.855907,7.814055
38,nm10348843,Fuller,\N,\N,miscellaneous,tt9487098,Timothy Fuller,8.116291,-1.6633694
39,nm13135779,Smuidris,\N,\N,actor,"tt16123826,tt23847182",Gundars Smuidris,5.6897287,7.2187204
40,nm15093774,Ekinci,\N,\N,,\N,Sermin Ekinci,7.427261,8.409868
41,nm5110967,Wolter,\N,\N,editor,"tt2212186,tt2212298",Inge Wolter,6.405356,4.9289775
42,nm11207102,Hatanaka,\N,\N,,tt11302324,Hacchan Hatanaka,5.8583713,8.802356
43,nm6101321,Walker,\N,\N,actress,"tt3332382,tt1919148",Alex Walker,2.859301,-1.5818529
44,nm11621988,Favre,\N,\N,"producer,assistant_director","tt0187385,tt0204643",Jacques Favre de Thierrens,3.0849388,4.8414035
45,nm1953031,Rachwalski,\N,\N,visual_effects,tt0449040,Scott Rachwalski,7.5616236,6.8270416
46,nm4615442,Lee,\N,\N,miscellaneous,tt0808357,Jessie Lee,-6.3251996,12.16817
47,nm3630562,Bem,\N,\N,miscellaneous,tt1346520,Samfprd. Bem,6.5331717,6.0576863
48,nm14293493,Peter,\N,\N,actor,tt23897176,Joe Peter Harry,1.7348824,14.713532
49,nm10743246,Elliott,\N,\N,,\N,Grant Elliott,3.903711,1.406928
50,nm5578287,Louise,\N,\N,,tt2780220,Molly Louise Hudelson,9.191511,2.1889102
