,nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,completeName,t-SNE Component 1,t-SNE Component 2
0,nm5147624,Vouza,\N,\N,"assistant_director,editor,director","tt3188946,tt3101322,tt2340076,tt2167819",Maria Vouza,-32.313053,21.784552
1,nm8265968,Squeegee,\N,\N,actor,"tt5860022,tt11378830",Luigi Squeegee,-69.593864,0.95132536
2,nm13030986,Kita,\N,\N,"composer,music_department","tt8652818,tt3432596,tt12879624,tt6035642",Tomohiro Kita,13.754451,22.65919
3,nm13447821,,\N,\N,actor,\N,Carlos,-25.333563,101.99441
4,nm12224568,Barrows,\N,\N,"editor,cinematographer",tt3458612,Brandon Barrows,8.522959,-43.28448
5,nm9664188,Tierney,\N,\N,actress,"tt6334596,tt14402542,tt14915084",A.J. Tierney,39.955925,-35.644413
6,nm11895603,Rydell,\N,\N,"actor,cinematographer,composer",tt13085350,Felix Rydell,18.286358,-9.947663
7,nm13922831,Allegower,\N,\N,actress,tt14675736,Jessica Allegower,-36.523067,36.259346
8,nm9593369,Waterson,\N,\N,"sound_department,camera_department","tt11214170,tt7909350,tt9081508",Kenny Waterson,-7.7283773,-17.717022
9,nm6697471,Moyo,\N,\N,"costume_department,production_designer",tt3951372,Zoe Moyo,-73.25373,-30.08287
10,nm14665237,Amrhein,\N,\N,actor,tt14444726,Felix Amrhein,-26.860361,41.095715
11,nm7403363,Huff,\N,\N,"producer,actress,cinematographer",tt3876658,Michi Huff,-4.775431,-57.164368
12,nm13653448,Feliks,\N,\N,miscellaneous,tt7462410,Novak Feliks,-5.424253,15.484923
13,nm3178530,Drobny,\N,\N,miscellaneous,tt0433664,Maciej Drobny,-61.144173,15.0066595
14,nm10559267,Chau,\N,\N,producer,tt10048330,Emily Chau,-5.1112657,32.037964
15,nm6700344,Hallberg,\N,\N,camera_department,"tt0353130,tt0275880,tt0166916",John Hallberg,-11.631366,-41.002487
16,nm3894100,Agboola,\N,\N,actor,tt1648952,Sunday Agboola,-10.607353,41.7568
17,nm7251159,Brooke,\N,\N,producer,tt4591850,Charles Brooke,57.442875,-37.938713
18,nm2339096,Pasten,\N,\N,music_department,tt0824355,D. Pasten,-36.25523,4.064222
19,nm14323810,Mishey,\N,\N,,\N,Lovely Mishey,-52.082886,34.00807
20,nm4959770,Ramet,\N,\N,,\N,Santiago Ramet,50.839947,30.923477
21,nm10708660,Mizuta,\N,\N,cinematographer,tt10365782,Hiroshi Mizuta,19.619923,63.68282
22,nm5932374,Khan,\N,\N,make_up_department,"tt2917898,tt3173712,tt3206144",Asif Khan,69.98187,40.678764
23,nm13553565,Hetherington,\N,\N,actor,"tt24900296,tt18340124,tt27201235",Oliver Hetherington,-26.232635,-35.09842
24,nm11180696,Coombs,\N,\N,,\N,Georgia Coombs,-75.18832,-3.557709
25,nm0649713,Orenstein,\N,\N,"producer,editor,writer","tt0335745,tt0157989,tt0145667,tt0186754",Yaffa Orenstein,-20.37989,-12.637047
26,nm14831755,Apekampo,\N,\N,make_up_department,tt27692161,Pirrette Apekampo,3.0154886,34.118073
27,nm0955396,Zhang,\N,\N,"composer,music_department","tt1735845,tt10168220,tt0354911,tt0270095",Qianyi Zhang,42.49482,64.601234
28,nm12360610,A.,\N,\N,actor,tt1270114,David A. Wheelwright,-84.48752,46.71519
29,nm8449082,Stingl,\N,\N,actor,"tt6075080,tt2119931",Daliah Stingl,-3.3498204,-27.844494
30,nm6811313,Yaremenko,\N,\N,cinematographer,"tt4533366,tt16162312,tt14565442,tt4079494",Andrey Yaremenko,-7.121589,4.4351892
31,nm0442630,Kavcic,1923,2007,"director,writer,assistant_director","tt0204588,tt0296250,tt0396114,tt0084837",Jane Kavcic,-14.114001,57.44369
32,nm9484148,Múnera,\N,\N,"director,writer,assistant_director","tt9676024,tt7742276,tt9294882,tt2055813",Sebastián Múnera,-27.597212,78.0837
33,nm0492331,Law,\N,\N,actor,"tt0039544,tt0043896",Jack Law,-44.304695,-52.397427
34,nm2187769,Carlos,\N,\N,"art_director,animation_department","tt2699170,tt0774704,tt2113658,tt3157640",Juan Carlos Sánchez,63.241817,3.1335015
35,nm12280596,Sebastian,\N,\N,,tt1102520,Jay Sebastian Williams,61.122887,16.443037
36,nm10769074,Goetz,\N,\N,art_department,tt9755698,Mark Goetz,11.788986,-8.533737
37,nm5444337,Brown,\N,\N,,\N,LeeAnne Brown,-62.465942,-61.683163
38,nm8533697,Blake,\N,\N,,tt6180972,Anthony Blake,72.11033,-39.037136
39,nm0829441,Stewart,\N,\N,"producer,art_department,executive","tt4727264,tt0122689,tt6069962,tt3754578",Ian Stewart,19.729242,-81.298645
40,nm13258343,Curry,\N,\N,actress,tt16752124,Mimi Curry,70.83127,37.488117
41,nm4801666,Hutz,\N,\N,,tt2130007,David Hutz,39.954395,41.654102
42,nm0001954,Bloom,1931,\N,actress,"tt0057129,tt0044837,tt1504320,tt0082186",Claire Bloom,-45.77197,-42.671024
43,nm3713499,Kerry,\N,\N,"actress,director,writer","tt8106458,tt0081856",Dayle Kerry,53.053425,-37.17463
44,nm7497103,Hertzriken,\N,\N,"producer,writer","tt15551300,tt15533134,tt6772306,tt13574490",Lucila Hertzriken,-41.662037,9.111777
45,nm10173538,,\N,\N,"actor,music_department",tt9089268,Sibitt,19.533585,98.69436
46,nm13732906,Tassone,\N,\N,,\N,Nicholas Tassone,5.492275,-12.731226
47,nm0466423,Kornbluh,\N,\N,"miscellaneous,writer","tt0906046,tt2566340,tt2634236,tt8466694",Peter Kornbluh,-24.82126,49.523308
48,nm11400947,Lin,\N,\N,,"tt6127082,tt25993150",Sean Lin,-19.0145,-34.852856
49,nm9536566,Brown,\N,\N,actor,tt7849282,Stephan Brown,-62.25219,-61.22691
50,nm6563366,Moriamé,\N,\N,production_manager,tt3798288,Patrick Moriamé,33.72298,37.902256
51,nm5957876,Aziz,\N,\N,,"tt2843442,tt4328526,tt0163471,tt8615400",Tipu Aziz,66.73236,28.616013
52,nm4399381,Majkus,1958,\N,actor,"tt7341988,tt1833295,tt3450368,tt4077548",Pavel Majkus,33.69024,46.049103
53,nm2763638,Wijaya,\N,\N,"sound_department,producer","tt1094166,tt1365581,tt1503787",Steven Wijaya,21.056684,47.847866
54,nm9635538,Cope,\N,\N,editor,tt27801017,Camryn Cope,-63.305225,41.034
55,nm9296009,Cooper,\N,\N,"actor,writer,camera_department","tt8104194,tt8104118,tt9067856,tt8106140",Daniel Cooper,32.73473,-65.660866
56,nm13362033,Trejo,\N,\N,,\N,Jessica Trejo,-28.263767,5.827317
