,nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,completeName,t-SNE Component 1,t-SNE Component 2
0,nm2224849,Kamyshanov,1975,2011,"camera_department,director,writer","tt0386693,tt1745801,tt0478737,tt1735198",Konstantin Kamyshanov,-53.91237,-2.1981554
1,nm6579237,,\N,\N,,\N,Commedus,0.41140467,73.05939
2,nm10573134,Patel,\N,\N,transportation_department,"tt3319730,tt5254610",Satyan Patel,4.816492,-73.168724
3,nm5390423,Miyauchi,\N,\N,producer,"tt12490694,tt2371434",Takako Miyauchi,28.321646,-50.909184
4,nm4742271,Apagian,\N,\N,,\N,Reed Apagian,-33.07286,19.557985
5,nm9900756,Dix,\N,\N,actor,tt2138674,Chris Dix,50.232903,35.888477
6,nm0739948,Ronchi,1972,\N,"casting_director,casting_department,miscellaneous","tt1167638,tt0283832,tt1657507,tt1563738",Nicolas Ronchi,-22.898212,-29.640284
7,nm8992856,Parag,\N,\N,producer,tt6048638,Bill Parag,11.731815,-65.37656
8,nm14363546,Bouda,\N,\N,actor,tt24780600,Franck Bouda,-24.664873,-17.52254
9,nm14459240,Jamrozy,\N,\N,composer,\N,Jacek Jamrozy,-30.932323,26.65602
10,nm9165495,Dryden,\N,\N,,\N,Patty Dryden,1.2172207,30.252748
11,nm2086448,Helena,\N,\N,art_department,tt0330790,Maria Helena Felix,23.350473,-25.841995
12,nm0131833,Caminade,\N,\N,"make_up_department,actor,art_department","tt0291579,tt0108394,tt0111507,tt0270707",Jean-Pierre Caminade,-49.593174,22.61498
13,nm7031538,Javanjal,\N,\N,visual_effects,"tt5354664,tt2274648",Sandeep Javanjal,-35.46652,19.589792
14,nm11916815,Ernesto,\N,\N,sound_department,tt13136954,Esteban Ernesto Vázquez Aldama,-17.625607,-43.705585
15,nm11452422,Derman,\N,\N,,tt12041098,Mike Derman,13.929181,-3.5179183
16,nm13809758,Ten,\N,\N,miscellaneous,tt19353050,Gina Ten Hoope,-25.559929,36.446423
17,nm0742983,Rosier,1963,\N,"actress,soundtrack","tt0081025,tt0112055,tt0062614,tt0093635",Monique Rosier,31.878035,37.156395
18,nm7902746,P.,\N,\N,producer,tt4855268,Ricahrd P. Alverez,87.076355,-7.322414
19,nm5480989,Adams,\N,\N,cinematographer,tt2632740,Chris Adams,49.470722,37.421726
20,nm11976135,Nchimbi,\N,\N,composer,tt6961868,Adeson Nchimbi,-46.93004,27.090803
21,nm13935077,Dondey,\N,\N,costume_department,tt21627784,Mathis Dondey,-62.2161,19.562134
22,nm1776364,Gorrey,\N,\N,miscellaneous,tt0430756,Andrew Gorrey,-62.306633,24.353264
23,nm14924766,Sweeney,\N,\N,actor,\N,Jennifer Sweeney,19.612871,2.063766
24,nm5217880,Murci-Tasci,\N,\N,actor,tt2339958,Mizbah Murci-Tasci,-50.83285,16.831484
25,nm5378221,Richardson,\N,\N,,tt2378543,Greg Richardson,10.729925,17.654375
26,nm11650511,Juss,\N,\N,producer,"tt12485446,tt11686750,tt15470052,tt13053464",Jaanus Juss,-9.235007,-41.99123
27,nm13740984,Keisuke,\N,\N,assistant_director,tt15830678,Warita Keisuke,29.403818,-55.94755
28,nm1293347,Ledic,1892,1981,"director,producer,writer","tt0346479,tt0347822,tt0345047,tt0346510",Franjo Ledic,-56.498966,23.190155
29,nm14057845,Quiropoyetas,\N,\N,editor,tt0499394,Ana Quiropoyetas,-40.225132,9.987576
30,nm0945509,Yamamoto,\N,\N,"producer,production_manager","tt0189284,tt0073918,tt0202936,tt0082601",Yoshio Yamamoto,30.18937,-49.447983
31,nm0206972,Vieira,\N,\N,"actor,composer,music_department","tt0096206,tt2614400,tt0108471,tt0472778",Nuno Vieira de Almeida,-21.525211,-64.553215
32,nm10210098,Hua,\N,\N,actor,tt8407492,Kong Hua Thao,69.97343,-33.523888
33,nm0890972,E.,\N,\N,"miscellaneous,stunts","tt0082175,tt0098282,tt0093029,tt0088979",Suzanne E. Vaucher,88.40824,1.5233579
34,nm6366227,Ernesto,\N,\N,,"tt13392500,tt15275848,tt3603986",Rocco Ernesto Pooth,-17.625607,-43.705585
35,nm13331286,V.K.,\N,\N,stunts,tt16744046,Vino V.K.,11.614861,-68.90506
36,nm1740674,Allman,\N,\N,producer,tt0210952,Bob Allman,-9.361173,11.195624
37,nm1510873,Scheur,\N,\N,"producer,miscellaneous,visual_effects","tt0384057,tt9357250,tt11474288,tt4537888",Eric Scheur,-6.8235607,-4.299862
38,nm8321046,Webster,\N,\N,actor,tt5910220,Nick Webster,8.338302,36.5645
39,nm11053513,Zhang,\N,\N,editor,tt10488412,Ran Zhang,66.58663,-36.13734
