,nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,completeName,UMAP Component 1,UMAP Component 2
8847,nm2585474,Nadie,\N,\N,make_up_department,tt0192757,Ella Nadie,-12.285228,-5.3168235
8848,nm13081488,Wicki,\N,\N,,tt0765274,Thomas Wicki,-11.978722,1.7406594
8849,nm6946654,Rædkjær,\N,\N,,tt4240724,Kirstine Rædkjær,-3.5145507,-1.2100483
8850,nm10867610,James,\N,\N,actor,"tt10755624,tt11694390,tt5639802",Harley James,-4.804324,11.554114
8851,nm3735734,Pailthorpe,\N,\N,,tt0196297,Richard Pailthorpe,-16.414389,3.305404
8852,nm12207504,Graf,\N,\N,camera_department,tt4576012,Chris Graf,-11.767837,2.4716904
8853,nm7416241,Marin,\N,\N,publicist,\N,Paul Marin,-14.23265,-4.033754
8854,nm12398895,,\N,\N,actress,tt14231538,Sneha,20.210886,2.4661627
8855,nm12871932,Katelynn,\N,\N,,\N,Suzannah Katelynn Hughes,-9.266879,1.8957459
8856,nm0535845,Magee,\N,\N,actor,tt0235369,James Magee,-14.7400675,1.3080074
8857,nm6147759,Díaz,\N,\N,cinematographer,tt3398604,Patricia Díaz,-11.448778,-5.4761353
8858,nm8445578,Sulca,\N,\N,,\N,Angel Sulca,-12.255343,-5.366033
8859,nm0065598,Becker,1880,1952,"actor,costume_designer","tt0015352,tt0007534,tt0010559,tt0432306",Theodor Becker,-11.801493,2.4609668
8860,nm9904659,Tacket,\N,\N,camera_department,tt8551054,Anthony Tacket,-17.651346,3.09024
8861,nm4011403,Harris,\N,\N,producer,"tt0347177,tt0033730,tt0147958",Lawson Harris,-18.573874,3.6033218
8862,nm10200471,Squibb,\N,\N,,tt0887237,Rick Squibb,-12.818219,4.1005874
8863,nm5808872,Neft,\N,\N,actress,tt1454609,Veronika Neft,-12.531356,2.986024
8864,nm11033670,Bowman,\N,\N,,\N,Roderick Bowman,-17.733496,1.5601867
8865,nm12607534,Mercaldo,\N,\N,,\N,Fred Mercaldo,-13.980082,1.8766122
8866,nm14974398,Loiselle,\N,\N,"miscellaneous,writer",tt0478876,Ginette Loiselle,-10.809383,0.8225153
8867,nm4667560,Gegesi,\N,\N,"transportation_department,miscellaneous","tt2056694,tt3973866",Terry Gegesi,-3.8515663,-0.6669757
8868,nm8604593,Ahmad,\N,\N,actor,tt6273928,Ali Ahmad Abulfazli,-1.3100959,5.9851
8869,nm0881591,Urayama,1930,1985,"director,writer,assistant_director","tt0372324,tt0203100,tt1994569,tt0228499",Kiriô Urayama,3.6407814,10.553222
8870,nm14654711,Watkins,\N,\N,camera_department,tt26901868,Tim Watkins,-18.732595,7.2524047
8871,nm12502355,Powell,\N,\N,producer,tt14488238,Mark Powell,-18.161657,3.6067007
8872,nm9182789,Bodoki,\N,\N,,\N,Lilla Bodoki,-3.2976131,-1.4607389
8873,nm6326596,Ma,\N,\N,"actor,assistant_director","tt5562066,tt27493745",Jiamayao Ma,-5.1395407,21.58371
8874,nm12486127,Black,\N,\N,writer,tt14446772,Audrey Black,-16.718954,-1.0506989
8875,nm10973255,Butler,\N,\N,actor,tt7352264,Jerry Butler,-15.479374,6.3268337
8876,nm0106254,Bray,1956,\N,"soundtrack,music_department,composer","tt2452150,tt0092644,tt0089017,tt1200263",Stephen Bray,4.959957,20.021793
